《1767-0000》,# カンマ区切りテキスト形式です。
《1767-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1767-0020》,# ・表の区画内での改行は“/”で表記します。
《1767-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1767-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1767-0050》,# 外部リンク
《1767-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/105 ～ 111
《1767-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1767g　(GitHub上データを表成型)
《1767-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1767h　(翻刻編集データを表成型 - 未実装)
《1767-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1767-0100》,《版元》,出版地○○,出版元□□□,　
《1767-0110》,《前書》,今まて頒行ふ所の暦日月食三分以下はしるし来らす此たひ/命ありて浅食といへともこと〱く記さしむ志かれとも新暦しらへいまたおはらすよりて今まての数にならふのミ
《1767-0120》,《暦首》,明和四年ひのとのい乃宝暦甲戌元暦,昴宿/値年,凡三百八十四日
《1767-0130》,《大歳》,大さいいの方,此方ニむかひて万よし/但木をきらす
《1767-0140》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1767-0150》,《大陰》,大おんとりの方,此方ニむかひて/さんをせす
《1767-0160》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《1767-0170》,《歳刑》,さいけういの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1767-0180》,《歳破》,さいはみの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《1767-0190》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大,五月小,六月大
《1767-0200》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月大/閏九月小
《1767-0210》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小
《1767-0220》,《月序》,正月,小,建,壬寅,角宿値月牛宿金曜値朔日
《1767-2640》,《暦日2》,十三／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1767-2650》,《暦日0》,十四／,きのとのみ,なる,,　,十し
《1767-2660》,《節中》,白露八月せつみの一刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1767-2670》,《暦日2》,十五／,ひのえむま,おさん,水,　,大みやう めつもん
《1767-2680》,《暦日0》,十六／,ひのとのひつし,ひらく,,　,●
《1767-2690》,《暦日2》,十七／,つちのえさる,とつ,土,　,天しや よろつよし
《1767-2700》,《暦日0》,十八／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1767-2710》,《暦日2》,十九／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《1767-2720》,《暦日0》,廿／,かのとのい,みつ,,二百廿日,神よし 大みやう 天おん ちう日 ふく日
《1767-2730》,《暦日2》,廿一／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《1767-2740》,《暦日0》,廿二／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《1767-2750》,《暦日2》,廿三／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1767-2760》,《暦日0》,廿四／,きのとのう,やふる,,　,くゑ日 ふく日
《1767-2770》,《暦日2》,廿五／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《1767-2780》,《暦日0》,廿六／,ひのとのみ,なる,,　,十し
《1767-2790》,《暦日2》,廿七／,つちのえむま,おさん,火,ま日/社日,めつもん
《1767-2800》,《暦日0》,廿八／,つちのとのひつし,ひらく,,ひかんニなる,●
《1767-2810》,《暦日1》,廿九／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《1767-2820》,《節中》,秋分八月中ひつしの七刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1767-2830》,《暦日1》,卅／,かのとのとり,たつ,木,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1767-2840》,《月序》,九月,大,建,庚戌,牛宿　參　水よう
《1767-2850》,《暦日2》,一／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ わうまう  たねまきよし
《1767-2860》,《暦日0》,二／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1767-2870》,《暦日2》,三／,きのえね,たいら,金,　,きしく 天おん 大くわ 地火  わたましよし
《1767-2880》,《暦日0》,四／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《1767-2890》,《暦日2》,五／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《1767-2900》,《暦日0》,六／,ひのとのう,やふる,,　,天おん  田かりよし
《1767-2910》,《暦日2》,七／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《1767-2920》,《暦日0》,八／,つちのとのみ,なる,,　,十し
《1767-2930》,《暦日2》,九／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《1767-2940》,《暦日0》,十／,かのとのひつし,ひらく,,　,●
《1767-2950》,《暦日2》,十一／,みつのえさる,とつ,金,　,神よし 大みやう
《1767-2960》,《暦日0》,十二／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1767-2970》,《暦日2》,十三／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《1767-2980》,《暦日0》,十四／,きのとのい,のそく,,　,ちう日  田かりよし
《1767-2990》,《節中》,寒露九月せついぬの三刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1767-3000》,《暦日2》,十五／,ひのえね,みつ,水,　,月とく きこ 天火 らうしやく
《1767-3010》,《暦日0》,十六／,ひのとのうし,たいら,,　,十し
《1767-3020》,《暦日2》,十七／,つちのえとら,さたん,土,　,●
《1767-3030》,《暦日0》,十八／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《1767-3040》,《暦日2》,十九／,かのえたつ,やふる,金,　,天おん
《1767-3050》,《暦日0》,廿／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《1767-3060》,《暦日2》,廿一／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《1767-3070》,《暦日0》,廿二／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《1767-3080》,《暦日2》,廿三／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1767-3090》,《暦日0》,廿四／,きのとのとり,とつ,,　,神よし  田かりよし
《1767-3100》,《暦日2》,廿五／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《1767-3110》,《暦日0》,廿六／,ひのとのい,のそく,,　,大みやう ちう日
《1767-3120》,《暦日2》,廿七／,つちのえね,みつ,火,とよう今暁ねの四刻ニ入,きこ ふく日 天火 らうしやく
《1767-3130》,《暦日0》,廿八／,つちのとのうし,たいら,,　,十し
《1767-3140》,《暦日2》,廿九／,かのえとら,さたん,木,　,●
《1767-3150》,《暦日0》,卅／,かのとのう,とる,,　,くゑ日
《1767-3160》,《節中》,霜降九月中今暁うしの初刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1767-3170》,《月序》,閏九月,小,隨節用之,鬼　金よう
《1767-3180》,《暦日2》,一／,みつのえたつ,やふる,水,　,きしく 大みやう 五む日 くゑ日
《1767-3190》,《暦日0》,二／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1767-3200》,《暦日2》,三／,きのえむま,なる,金,　,くゑ日
《1767-3210》,《暦日0》,四／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《1767-3220》,《暦日2》,五／,ひのえさる,ひらく,火,　,くゑ日
《1767-3230》,《暦日0》,六／,ひのとのとり,とつ,,　,くゑ日
《1767-3240》,《暦日2》,七／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1767-3250》,《暦日0》,八／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《1767-3260》,《暦日2》,九／,かのえね,みつ,土,　,さい下しき 神よし きこ 天火 らうしやく
《1767-3270》,《暦日0》,十／,かのとのうし,たいら,,　,十し
《1767-3280》,《暦日2》,十一／,みつのえとら,さたん,金,　,●
《1767-3290》,《暦日0》,十二／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《1767-3300》,《暦日2》,十三／,きのえたつ,やふる,火,　,大みやう
《1767-3310》,《暦日0》,十四／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《1767-3320》,《暦日1》,十五／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《1767-3330》,《節中》,立冬十月せつうの五刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1767-3340》,《暦日1》,十六／,ひのとのひつし,なる,水,　, 木こりよし
《1767-3350》,《暦日2》,十七／,つちのえさる,おさん,土,　,●
《1767-3360》,《暦日0》,十八／,つちのとのとり,ひらく,,　,十し
《1767-3370》,《暦日2》,十九／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《1767-3380》,《暦日0》,廿／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《1767-3390》,《暦日2》,廿一／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《1767-3400》,《暦日0》,廿二／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《1767-3410》,《暦日2》,廿三／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《1767-3420》,《暦日0》,廿四／,きのとのう,さたん,,　,天火 らうしやく わうまう  けんふく ものたちよし
《1767-3430》,《暦日2》,廿五／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《1767-3440》,《暦日0》,廿六／,ひのとのみ,やふる,,　,くゑ日 ちう日
《1767-3450》,《暦日2》,廿七／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《1767-3460》,《暦日0》,廿八／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《1767-3470》,《暦日1》,廿九／,かのえさる,おさん,木,　,●
《1767-3480》,《月序》,十月,大,建,辛亥,女宿　柳　土よう
《1767-3490》,《暦日1》,一／,かのとのとり,ひらく,木,　,十し
《1767-3500》,《節中》,小雪十月中むまの二刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1767-3510》,《暦日2》,二／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《1767-3520》,《暦日0》,三／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1767-3530》,《暦日2》,四／,きのえね,のそく,金,　,天しや よろつよし
《1767-3540》,《暦日0》,五／,きのとのうし,みつ,,　,くゑ日 きこ
《1767-3550》,《暦日2》,六／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《1767-3560》,《暦日0》,七／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《1767-3570》,《暦日2》,八／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《1767-3580》,《暦日0》,九／,つちのとのみ,やふる,,　,くゑ日 ちう日
《1767-3590》,《暦日2》,十／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1767-3600》,《暦日0》,十一／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1767-3610》,《暦日2》,十二／,みつのえさる,おさん,金,　,●
《1767-3620》,《暦日0》,十三／,みつのとのとり,ひらく,,　,十し
《1767-3630》,《暦日2》,十四／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《1767-3640》,《暦日0》,十五／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1767-3650》,《暦日1》,十六／,ひのえね,たつ,水,　, 木こりよし
《1767-3660》,《節中》,大雪十一月せつさるの七刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1767-3670》,《暦日1》,十七／,ひのとのうし,のそく,水,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《1767-3680》,《暦日2》,十八／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《1767-3690》,《暦日0》,十九／,つちのとのう,たいら,,　,●
《1767-3700》,《暦日2》,廿／,かのえたつ,さたん,金,　,天おん  たねまきよし
《1767-3710》,《暦日0》,廿一／,かのとのみ,とる,,　,十し
《1767-3720》,《暦日2》,廿二／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《1767-3730》,《暦日0》,廿三／,みつのとのひつし,あやふ,,　,天おん ふく日
《1767-3740》,《暦日2》,廿四／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《1767-3750》,《暦日0》,廿五／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《1767-3760》,《暦日2》,廿六／,ひのえいぬ,ひらく,土,　,五む日
《1767-3770》,《暦日0》,廿七／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《1767-3780》,《暦日2》,廿八／,つちのえね,たつ,火,　,きしく くゑ日
《1767-3790》,《暦日0》,廿九／,つちのとのうし,のそく,,　, つめとりよし
《1767-3800》,《暦日1》,卅／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《1767-3810》,《月序》,十一月,大,建,壬子,虛宿　張　月よう
《1767-3820》,《暦日1》,一／,かのとのう,たいら,木,　,●
《1767-3830》,《節中》,冬至十一月中いの四刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《1767-3840》,《暦日2》,二／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《1767-3850》,《暦日0》,三／,みつのとのみ,とる,,天一天上,十し
《1767-3860》,《暦日2》,四／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《1767-3870》,《暦日0》,五／,きのとのひつし,あやふ,,　,大みやう 五む日 わうまう  ものたちよし
《1767-3880》,《暦日2》,六／,ひのえさる,なる,火,　,母倉
《1767-3890》,《暦日0》,七／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《1767-3900》,《暦日2》,八／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1767-3910》,《暦日0》,九／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1767-3920》,《暦日2》,十／,かのえね,たつ,土,　,さい下しき  井ほりよし
《1767-3930》,《暦日0》,十一／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1767-3940》,《暦日2》,十二／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《1767-3950》,《暦日0》,十三／,みつのとのう,たいら,,　,●
《1767-3960》,《暦日2》,十四／,きのえたつ,さたん,火,　,大みやう
《1767-3970》,《暦日0》,十五／,きのとのみ,とる,,　,十し
《1767-3980》,《暦日2》,十六／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1767-3990》,《暦日0》,十七／,ひのとのひつし,やふる,,　,くゑ日
《1767-4000》,《節中》,小寒十二月せつ今暁とらの一刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1767-4010》,《暦日2》,十八／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《1767-4020》,《暦日0》,十九／,つちのとのとり,なる,,　,●
《1767-4030》,《暦日2》,廿／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《1767-4040》,《暦日0》,廿一／,かのとのい,ひらく,,　,大みやう 天おん ちう日
《1767-4050》,《暦日2》,廿二／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《1767-4060》,《暦日0》,廿三／,みつのとのうし,たつ,,ま日,十し
《1767-4070》,《暦日2》,廿四／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1767-4080》,《暦日0》,廿五／,きのとのう,みつ,,　,神よし 月とく  ものたちよし
《1767-4090》,《暦日2》,廿六／,ひのえたつ,たいら,土,ま日,きしく 大みやう 大くわ 地火
《1767-4100》,《暦日0》,廿七／,ひのとのみ,さたん,,　,母倉 ちう日
《1767-4110》,《暦日2》,廿八／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《1767-4120》,《暦日0》,廿九／,つちのとのひつし,やふる,,とようたつの二刻ニ入,神よし 大みやう ふく日  かといてよし
《1767-4130》,《暦日1》,卅／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《1767-4140》,《月序》,十二月,小,建,癸丑,危宿　軫　水よう
《1767-4150》,《暦日1》,一／,かのとのとり,なる,木,　,●
《1767-4160》,《暦日1》,二／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《1767-4170》,《節中》,大寒十二月中たつの六刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1767-4180》,《暦日1》,三／,みつのとのい,ひらく,水,八せんのおはり,くゑ日 ちう日
《1767-4190》,《暦日2》,四／,きのえね,とつ,金,　,天しや よろつよし
《1767-4200》,《暦日0》,五／,きのとのうし,たつ,,　,十し
《1767-4210》,《暦日2》,六／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《1767-4220》,《暦日0》,七／,ひのとのう,みつ,,　,神よし 天おん
《1767-4230》,《暦日2》,八／,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
《1767-4240》,《暦日0》,九／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《1767-4250》,《暦日2》,十／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《1767-4260》,《暦日0》,十一／,かのとのひつし,やふる,,　,大みやう  かといてよし
《1767-4270》,《暦日2》,十二／,みつのえさる,あやふ,金,　,神よし 大みやう
《1767-4280》,《暦日0》,十三／,みつのとのとり,なる,,　,●
《1767-4290》,《暦日2》,十四／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1767-4300》,《暦日0》,十五／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《1767-4310》,《暦日2》,十六／,ひのえね,とつ,水,せつふん,きこ ちいみ わうまう
《1767-4320》,《暦日0》,十七／,ひのとのうし,とつ,,　,さい下しき 神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1767-4330》,《節中》,立春正月せつひつしの三刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1767-4340》,《暦日2》,十八／,つちのえとら,たつ,土,　,天しや よろつよし
《1767-4350》,《暦日0》,十九／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《1767-4360》,《暦日2》,廿／,かのえたつ,みつ,金,　,天おん ふく日
《1767-4370》,《暦日0》,廿一／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《1767-4380》,《暦日2》,廿二／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《1767-4390》,《暦日0》,廿三／,みつのとのひつし,とる,,　,天おん わうまう  たねまきよし
《1767-4400》,《暦日2》,廿四／,きのえさる,やふる,水,十方くれニ入,神よし きしく 大みやう ふく日
《1767-4410》,《暦日0》,廿五／,きのとのとり,あやふ,,　,十し
《1767-4420》,《暦日2》,廿六／,ひのえいぬ,なる,土,　,●
《1767-4430》,《暦日0》,廿七／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《1767-4440》,《暦日2》,廿八／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《1767-4450》,《暦日0》,廿九／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《1767-4460》,《暦末》,明和三年出,立表測景定節氣者
