《1782-0000》,# カンマ区切りテキスト形式です。
《1782-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1782-0020》,# ・表の区画内での改行は“/”で表記します。
《1782-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1782-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1782-0050》,# 外部リンク
《1782-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/178 ～ 183
《1782-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1782g　(GitHub上データを表成型)
《1782-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1782h　(翻刻編集データを表成型 - 未実装)
《1782-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1782-0100》,《版元》,出版地○○,出版元□□□,　
《1782-0110》,《暦首》,天明二年みつのえとら乃宝暦甲戌元暦,心宿/値年,凡三百五十五日
《1782-0120》,《大歳》,大さいとらの方,此方ニむかひて万よし/但木をきらす
《1782-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1782-0140》,《大陰》,大おんねの方,此方ニむかひて/さんをせす
《1782-0150》,《歳徳》,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《1782-0160》,《歳刑》,さいけうみの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1782-0170》,《歳破》,さいはさるの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月小
《1782-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月大
《1782-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1782-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1782-0210》,《月序》,正月,大,建,壬寅,室宿値月室宿火曜値朔日
《1782-2610》,《暦日2》,十二／,ひのえね,たいら,水,　,大くわ 地火
《1782-2620》,《暦日0》,十三／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《1782-2630》,《暦日2》,十四／,つちのえとら,とる,土,社日/ひかんニなる,きこ  田かり  つめとりよし
《1782-2640》,《暦日0》,十五／,つちのとのう,やふる,,　,大みやう 天おん
《1782-2650》,《節中》,秋分八月中みの初刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1782-2660》,《食記》,月そく四分半
《1782-2670》,《暦日2》,十六／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《1782-2680》,《暦日0》,十七／,かのとのみ,なる,,　,十し
《1782-2690》,《暦日2》,十八／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《1782-2700》,《暦日0》,十九／,みつのとのひつし,ひらく,,　,●
《1782-2710》,《暦日2》,廿／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1782-2720》,《暦日0》,廿一／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《1782-2730》,《暦日2》,廿二／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《1782-2740》,《暦日0》,廿三／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1782-2750》,《暦日2》,廿四／,つちのえね,たいら,火,　,大くわ 地火
《1782-2760》,《暦日0》,廿五／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《1782-2770》,《暦日2》,廿六／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《1782-2780》,《暦日0》,廿七／,かのとのう,やふる,,　,ふく日  田かりよし
《1782-2790》,《暦日2》,廿八／,みつのえたつ,あやふ,水,　,きしく 大みやう 母倉 五む日
《1782-2800》,《暦日0》,廿九／,みつのとのみ,なる,,天一天上,十し
《1782-2810》,《暦日1》,卅／,きのえむま,なる,金,　,くゑ日
《1782-2820》,《節中》,寒露九月せつひつしの五刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1782-2830》,《月序》,九月,小,建,庚戌,參宿　張　月よう
《1782-2840》,《暦日1》,一／,きのとのひつし,おさん,金,　,大みやう 五む日 くゑ日 大くわ
《1782-2850》,《暦日2》,二／,ひのえさる,ひらく,火,　,くゑ日
《1782-2860》,《暦日0》,三／,ひのとのとり,とつ,,　,くゑ日
《1782-2870》,《暦日2》,四／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1782-2880》,《暦日0》,五／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《1782-2890》,《暦日2》,六／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《1782-2900》,《暦日0》,七／,かのとのうし,たいら,,　,十し
《1782-2910》,《暦日2》,八／,みつのえとら,さたん,金,　,●
《1782-2920》,《暦日0》,九／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《1782-2930》,《暦日2》,十／,きのえたつ,やふる,火,　,大みやう
《1782-2940》,《暦日0》,十一／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《1782-2950》,《暦日2》,十二／,ひのえむま,なる,水,とようとりの六刻ニ入,神よし 大みやう 母倉 月とく  いちたちよし
《1782-2960》,《暦日0》,十三／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1782-2970》,《暦日2》,十四／,つちのえさる,ひらく,土,　,天しや よろつよし
《1782-2980》,《暦日0》,十五／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《1782-2990》,《節中》,霜降九月中いぬの二刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1782-3000》,《暦日2》,十六／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1782-3010》,《暦日0》,十七／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《1782-3020》,《暦日2》,十八／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《1782-3030》,《暦日0》,十九／,みつのとのうし,たいら,,ま日,十し
《1782-3040》,《暦日2》,廿／,きのえとら,さたん,水,　,●
《1782-3050》,《暦日0》,廿一／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《1782-3060》,《暦日2》,廿二／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《1782-3070》,《暦日0》,廿三／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《1782-3080》,《暦日2》,廿四／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《1782-3090》,《暦日0》,廿五／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《1782-3100》,《暦日2》,廿六／,かのえさる,ひらく,木,　,きしく 大みやう わうまう
《1782-3110》,《暦日0》,廿七／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《1782-3120》,《暦日2》,廿八／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《1782-3130》,《暦日0》,廿九／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《1782-3140》,《月序》,十月,大,建,辛亥,井宿　翼　火よう
《1782-3150》,《暦日2》,一／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《1782-3160》,《暦日0》,二／,きのとのうし,みつ,,　,くゑ日 きこ
《1782-3170》,《節中》,立冬十月せつ今暁ねの七刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1782-3180》,《暦日2》,三／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《1782-3190》,《暦日0》,四／,ひのとのう,さたん,,　,さい下しき 神よし 天おん 天火 らうしやく
《1782-3200》,《暦日2》,五／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《1782-3210》,《暦日0》,六／,つちのとのみ,やふる,,　,くゑ日 ちう日
《1782-3220》,《暦日2》,七／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1782-3230》,《暦日0》,八／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1782-3240》,《暦日2》,九／,みつのえさる,おさん,金,　,●
《1782-3250》,《暦日0》,十／,みつのとのとり,ひらく,,　,十し
《1782-3260》,《暦日2》,十一／,きのえいぬ,とつ,火,　,月とく わうまう  わたまし いちたちよし
《1782-3270》,《暦日0》,十二／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1782-3280》,《暦日2》,十三／,ひのえね,のそく,水,　,ふく日
《1782-3290》,《暦日0》,十四／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1782-3300》,《暦日2》,十五／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1782-3310》,《暦日0》,十六／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1782-3320》,《暦日1》,十七／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《1782-3330》,《節中》,小雪十月中うの四刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1782-3340》,《暦日1》,十八／,かのとのみ,やふる,金,　,天おん ちう日
《1782-3350》,《暦日2》,十九／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《1782-3360》,《暦日0》,廿／,みつのとのひつし,なる,,　,天おん
《1782-3370》,《暦日2》,廿一／,きのえさる,おさん,水,十方くれニ入,●
《1782-3380》,《暦日0》,廿二／,きのとのとり,ひらく,,　,十し
《1782-3390》,《暦日2》,廿三／,ひのえいぬ,とつ,土,　,五む日 ふく日
《1782-3400》,《暦日0》,廿四／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1782-3410》,《暦日2》,廿五／,つちのえね,のそく,火,　,きしく くゑ日  たねまきよし
《1782-3420》,《暦日0》,廿六／,つちのとのうし,みつ,,　,くゑ日 きこ
《1782-3430》,《暦日2》,廿七／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《1782-3440》,《暦日0》,廿八／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《1782-3450》,《暦日2》,廿九／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《1782-3460》,《暦日0》,卅／,みつのとのみ,やふる,,天一天上,ちう日
《1782-3470》,《月序》,十一月,小,建,壬子,鬼宿　角　木よう
《1782-3480》,《暦日2》,一／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《1782-3490》,《暦日0》,二／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《1782-3500》,《節中》,大雪十一月せつむまの一刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1782-3510》,《暦日2》,三／,ひのえさる,なる,火,　,母倉
《1782-3520》,《暦日0》,四／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《1782-3530》,《暦日2》,五／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1782-3540》,《暦日0》,六／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1782-3550》,《暦日2》,七／,かのえね,たつ,土,　, 井ほりよし
《1782-3560》,《暦日0》,八／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1782-3570》,《暦日2》,九／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《1782-3580》,《暦日0》,十／,みつのとのう,たいら,,　,●
《1782-3590》,《暦日2》,十一／,きのえたつ,さたん,火,　,大みやう
《1782-3600》,《暦日0》,十二／,きのとのみ,とる,,　,十し
《1782-3610》,《暦日2》,十三／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1782-3620》,《暦日0》,十四／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《1782-3630》,《暦日2》,十五／,つちのえさる,なる,土,　,母倉  入学よし
《1782-3640》,《暦日0》,十六／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《1782-3650》,《暦日1》,十七／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《1782-3660》,《節中》,冬至十一月中さるの六刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《1782-3670》,《暦日1》,十八／,かのとのい,とつ,金,　,神よし 大みやう 天おん ちう日
《1782-3680》,《暦日2》,十九／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1782-3690》,《暦日0》,廿／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《1782-3700》,《暦日2》,廿一／,きのえとら,みつ,水,　,きこ わうまう  つめとりよし
《1782-3710》,《暦日0》,廿二／,きのとのう,たいら,,　,●
《1782-3720》,《暦日2》,廿三／,ひのえたつ,さたん,土,ま日,きしく 大みやう  けんふく かといてよし
《1782-3730》,《暦日0》,廿四／,ひのとのみ,とる,,　,十し
《1782-3740》,《暦日2》,廿五／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1782-3750》,《暦日0》,廿六／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1782-3760》,《暦日2》,廿七／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《1782-3770》,《暦日0》,廿八／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《1782-3780》,《暦日1》,廿九／,みつのえいぬ,ひらく,水,ま日,月とく
《1782-3790》,《月序》,十二月,大,建,癸丑,柳宿　亢　金よう
《1782-3800》,《暦日1》,一／,みつのとのい,とつ,水,八せんのおはり,ちう日 ふく日
《1782-3810》,《暦日2》,二／,きのえね,たつ,金,　,天しや よろつよし
《1782-3820》,《暦日0》,三／,きのとのうし,たつ,,　,十し
《1782-3830》,《節中》,小寒十二月せついの三刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1782-3840》,《暦日2》,四／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《1782-3850》,《暦日0》,五／,ひのとのう,みつ,,　,さい下しき 神よし 天おん
《1782-3860》,《暦日2》,六／,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
《1782-3870》,《暦日0》,七／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《1782-3880》,《暦日2》,八／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《1782-3890》,《暦日0》,九／,かのとのひつし,やふる,,　,大みやう  かといてよし
《1782-3900》,《暦日2》,十／,みつのえさる,あやふ,金,　,神よし 大みやう
《1782-3910》,《暦日0》,十一／,みつのとのとり,なる,,　,●
《1782-3920》,《暦日2》,十二／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1782-3930》,《暦日0》,十三／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《1782-3940》,《暦日2》,十四／,ひのえね,とつ,水,　,きこ ちいみ
《1782-3950》,《暦日0》,十五／,ひのとのうし,たつ,,　,十し
《1782-3960》,《暦日2》,十六／,つちのえとら,のそく,土,とよう今暁うしの四刻ニ入,ふく日  木こり すゝはらひ  つめとりよし
《1782-3970》,《暦日0》,十七／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日  正月ことはしめよし
《1782-3980》,《暦日2》,十八／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《1782-3990》,《暦日0》,十九／,かのとのみ,さたん,,　,天おん 母倉 ちう日  すゝはらひよし
《1782-4000》,《節中》,大寒十二月中今暁うしの八刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1782-4010》,《暦日2》,廿／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《1782-4020》,《暦日0》,廿一／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《1782-4030》,《暦日2》,廿二／,きのえさる,あやふ,水,十方くれニ入,神よし きしく 大みやう
《1782-4040》,《暦日0》,廿三／,きのとのとり,なる,,　,●
《1782-4050》,《暦日2》,廿四／,ひのえいぬ,おさん,土,　,五む日 めつもん
《1782-4060》,《暦日0》,廿五／,ひのとのい,ひらく,,　,大みやう ちう日
《1782-4070》,《暦日2》,廿六／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《1782-4080》,《暦日0》,廿七／,つちのとのうし,たつ,,　,十し
《1782-4090》,《暦日2》,廿八／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《1782-4100》,《暦日0》,廿九／,かのとのう,みつ,,　,神よし  よめとりよし
《1782-4110》,《暦日1》,卅／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《1782-4120》,《暦末》,天明元年出,立表測景定節氣者
