《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/198 ～ 202
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1851g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1851h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,嘉永四年かのとのい乃天保壬寅元暦,昴宿/値年,凡三百五十四日
《0120》,《大歳》,大さいいの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《0140》,《大陰》,大おんとりの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《0160》,《歳刑》,さいけういの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはみの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月小
《0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大,五月小,六月小
《0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《0210》,《月序》,正月,大,建,庚寅,角宿値月氐宿土曜値朔日
《2810》,《月序》,九月,大,建,戊戌,牛宿　奎　木よう
《2820》,《暦日2》,一／,きのえさる,とつ,水,十方くれニ入,大みやう わうまう  竹木こり 田かりよし
《2830》,《暦日0》,二／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2840》,《暦日2》,三／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《2850》,《暦日0》,四／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2860》,《暦日2》,五／,つちのえね,たいら,火,　,大くわ 地火
《2870》,《暦日0》,六／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《2880》,《暦日2》,七／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2890》,《暦日0》,八／,かのとのう,やふる,,　,ふく日  田かりよし
《2900》,《暦日2》,九／,みつのえたつ,あやふ,水,　,きしく 大みやう 母倉 五む日
《2910》,《暦日0》,十／,みつのとのみ,なる,,天一天上,十し
《2920》,《暦日2》,十一／,きのえむま,おさん,金,　,めつもん
《2930》,《暦日0》,十二／,きのとのひつし,ひらく,,　,●
《2940》,《暦日2》,十三／,ひのえさる,とつ,火,　,神よし
《2950》,《暦日0》,十四／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2960》,《暦日1》,十五／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《2970》,《節中》,寒露九月せつ明六時五分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《2980》,《暦日1》,十六／,つちのとのい,のそく,木,　,神よし ちう日 ふく日  むきまきよし
《2990》,《暦日2》,十七／,かのえね,みつ,土,　,さい下しき 神よし きこ 天火 らうしやく
《3000》,《暦日0》,十八／,かのとのうし,たいら,,　,十し
《3010》,《暦日2》,十九／,みつのえとら,さたん,金,　,●
《3020》,《暦日0》,廿／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《3030》,《暦日2》,廿一／,きのえたつ,やふる,火,　,大みやう
《3040》,《暦日0》,廿二／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《3050》,《暦日2》,廿三／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《3060》,《暦日0》,廿四／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《3070》,《暦日2》,廿五／,つちのえさる,ひらく,土,　,天しや よろつよし
《3080》,《暦日0》,廿六／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《3090》,《暦日2》,廿七／,かのえいぬ,たつ,金,とよう朝四時三分ニ入,大みやう くゑ日
《3100》,《暦日0》,廿八／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《3110》,《暦日2》,廿九／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《3120》,《暦日0》,卅／,みつのとのうし,たいら,,ま日,十し
《3130》,《節中》,霜降九月中朝五時七分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《3140》,《月序》,十月,小,建,己亥,女宿　胃　土よう
《3150》,《暦日2》,一／,きのえとら,さたん,水,　,●
《3160》,《暦日0》,二／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3170》,《暦日2》,三／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《3180》,《暦日0》,四／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《3190》,《暦日2》,五／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《3200》,《暦日0》,六／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《3210》,《暦日2》,七／,かのえさる,ひらく,木,　,きしく 大みやう
《3220》,《暦日0》,八／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《3230》,《暦日2》,九／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《3240》,《暦日0》,十／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《3250》,《暦日2》,十一／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく わうまう
《3260》,《暦日0》,十二／,きのとのうし,たいら,,　,十し
《3270》,《暦日2》,十三／,ひのえとら,さたん,火,　,●
《3280》,《暦日0》,十四／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《3290》,《暦日1》,十五／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《3300》,《節中》,立冬十月せつ朝五時五分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3310》,《暦日1》,十六／,つちのとのみ,やふる,木,　,くゑ日 ちう日
《3320》,《暦日2》,十七／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3330》,《暦日0》,十八／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3340》,《暦日2》,十九／,みつのえさる,おさん,金,　,●
《3350》,《暦日0》,廿／,みつのとのとり,ひらく,,　,十し
《3360》,《暦日2》,廿一／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《3370》,《暦日0》,廿二／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《3380》,《暦日2》,廿三／,ひのえね,のそく,水,　,ふく日
《3390》,《暦日0》,廿四／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ わうまう
《3400》,《暦日2》,廿五／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3410》,《暦日0》,廿六／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《3420》,《暦日2》,廿七／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《3430》,《暦日0》,廿八／,かのとのみ,やふる,,　,天おん ちう日
《3440》,《暦日1》,廿九／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3450》,《月序》,十一月,大,建,庚子,虛宿　昴　日よう
《3460》,《暦日1》,一／,みつのとのひつし,なる,木,　,天おん
《3470》,《節中》,小雪十月中今暁七時八分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《3480》,《暦日2》,二／,きのえさる,おさん,水,十方くれニ入,●
《3490》,《暦日0》,三／,きのとのとり,ひらく,,　,十し
《3500》,《暦日2》,四／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3510》,《暦日0》,五／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3520》,《暦日2》,六／,つちのえね,のそく,火,　,きしく くゑ日  たねまきよし
《3530》,《暦日0》,七／,つちのとのうし,みつ,,　,くゑ日 きこ
《3540》,《暦日2》,八／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3550》,《暦日0》,九／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3560》,《暦日2》,十／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3570》,《暦日0》,十一／,みつのとのみ,やふる,,天一天上,ちう日
《3580》,《暦日2》,十二／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《3590》,《暦日0》,十三／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3600》,《暦日2》,十四／,ひのえさる,おさん,火,　,●
《3610》,《暦日0》,十五／,ひのとのとり,ひらく,,　,十し
《3620》,《暦日1》,十六／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3630》,《節中》,大雪十一月せつ今暁九時四分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3640》,《暦日1》,十七／,つちのとのい,とつ,木,　,神よし ちう日  ふねのりよし
《3650》,《暦日2》,十八／,かのえね,たつ,土,　,さい下しき  井ほりよし
《3660》,《暦日0》,十九／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3670》,《暦日2》,廿／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《3680》,《暦日0》,廿一／,みつのとのう,たいら,,　,●
《3690》,《暦日2》,廿二／,きのえたつ,さたん,火,　,大みやう
《3700》,《暦日0》,廿三／,きのとのみ,とる,,　,十し
《3710》,《暦日2》,廿四／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3720》,《暦日0》,廿五／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《3730》,《暦日2》,廿六／,つちのえさる,なる,土,　,母倉  入学よし
《3740》,《暦日0》,廿七／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《3750》,《暦日2》,廿八／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《3760》,《暦日0》,廿九／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《3770》,《暦日1》,卅／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3780》,《節中》,冬至十一月中暮六時五分日の出より日入まて,昼四十刻余/夜五十九刻半余,六より六まて,昼四十五刻半余/夜五十四刻余
《3790》,《月序》,十二月,小,建,辛丑,危宿　觜　火よう
《3800》,《暦日1》,一／,みつのとのうし,のそく,木,ま日,神よし 天おん ふく日  木こり  つめとりよし
《3810》,《暦日2》,二／,きのえとら,みつ,水,　,きこ  つめとりよし
《3820》,《暦日0》,三／,きのとのう,たいら,,　,●
《3830》,《暦日2》,四／,ひのえたつ,さたん,土,ま日,きしく 大みやう  けんふく かといてよし
《3840》,《暦日0》,五／,ひのとのみ,とる,,　,十し
《3850》,《暦日2》,六／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3860》,《暦日0》,七／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3870》,《暦日2》,八／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3880》,《暦日0》,九／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3890》,《暦日2》,十／,みつのえいぬ,ひらく,水,ま日,月とく
《3900》,《暦日0》,十一／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3910》,《暦日2》,十二／,きのえね,たつ,金,　,天しや よろつよし
《3920》,《暦日0》,十三／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《3930》,《暦日2》,十四／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3940》,《暦日0》,十五／,ひのとのう,みつ,,　,神よし 天おん
《3950》,《節中》,小寒十二月せつ朝四時八分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3960》,《暦日1》,十六／,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
《3970》,《食記》,月帯そく
《3980》,《暦日1》,十七／,つちのとのみ,さたん,木,　,母倉 ちう日 ふく日
《3990》,《暦日2》,十八／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《4000》,《暦日0》,十九／,かのとのひつし,やふる,,　,大みやう  かといてよし
《4010》,《暦日2》,廿／,みつのえさる,あやふ,金,　,神よし 大みやう
《4020》,《暦日0》,廿一／,みつのとのとり,なる,,　,●
《4030》,《暦日2》,廿二／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《4040》,《暦日0》,廿三／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《4050》,《暦日2》,廿四／,ひのえね,とつ,水,　,きこ ちいみ
《4060》,《暦日0》,廿五／,ひのとのうし,たつ,,　,十し
《4070》,《暦日2》,廿六／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《4080》,《暦日0》,廿七／,つちのとのう,みつ,,とよう昼八時五分ニ入,神よし 大みやう 天おん ふく日  正月ことはしめよし
《4090》,《暦日2》,廿八／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《4100》,《暦日0》,廿九／,かのとのみ,さたん,,　,天おん 母倉 ちう日  すゝはらひよし
《4110》,《暦末》,嘉永三年出,立表測景定節氣者
