《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/147 ～ 150
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1839g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1839h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,天保十年つちのとのい乃寛政暦,尾宿/値年,凡三百五十四日
《0120》,《大歳》,大さいいの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《0140》,《大陰》,大おんとりの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《0160》,《歳刑》,さいけういの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはみの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小
《0210》,《月序》,正月,小,建,丙寅,星宿値月角宿木曜値朔日
《2790》,《暦日1》,廿九／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《2800》,《月序》,九月,大,建,甲戌,心宿　危　月よう
《2810》,《暦日1》,一／,みつのとのみ,あやふ,水,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《2820》,《節中》,寒露九月せつみの六刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《2830》,《暦日2》,二／,きのえむま,なる,金,　,くゑ日
《2840》,《暦日0》,三／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《2850》,《暦日2》,四／,ひのえさる,ひらく,火,　,くゑ日
《2860》,《暦日0》,五／,ひのとのとり,とつ,,　,くゑ日
《2870》,《暦日2》,六／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《2880》,《暦日0》,七／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《2890》,《暦日2》,八／,かのえね,みつ,土,　,さい下しき 神よし きこ 天火 らうしやく
《2900》,《暦日0》,九／,かのとのうし,たいら,,　,十し
《2910》,《暦日2》,十／,みつのえとら,さたん,金,　,●
《2920》,《暦日0》,十一／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《2930》,《暦日2》,十二／,きのえたつ,やふる,火,　,きしく 大みやう
《2940》,《暦日0》,十三／,きのとのみ,あやふ,,とようひつしの七刻ニ入,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《2950》,《暦日2》,十四／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《2960》,《暦日0》,十五／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《2970》,《暦日1》,十六／,つちのえさる,ひらく,土,　,天しや よろつよし
《2980》,《節中》,霜降九月中さるの三刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《2990》,《暦日1》,十七／,つちのとのとり,とつ,土,　,神よし 大みやう 天おん ふく日  たねまきよし
《3000》,《暦日2》,十八／,かのえいぬ,たつ,金,　,大みやう くゑ日
《3010》,《暦日0》,十九／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《3020》,《暦日2》,廿／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《3030》,《暦日0》,廿一／,みつのとのうし,たいら,,ま日,十し
《3040》,《暦日2》,廿二／,きのえとら,さたん,水,　,●
《3050》,《暦日0》,廿三／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3060》,《暦日2》,廿四／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《3070》,《暦日0》,廿五／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《3080》,《暦日2》,廿六／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《3090》,《暦日0》,廿七／,つちのとのひつし,おさん,,　,大みやう 母倉 大くわ ふく日 わうまう  かといてよし
《3100》,《暦日2》,廿八／,かのえさる,ひらく,木,　,大みやう
《3110》,《暦日0》,廿九／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《3120》,《暦日1》,卅／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《3130》,《月序》,十月,大,建,乙亥,尾宿　壁　水よう
《3140》,《暦日1》,一／,みつのとのい,たつ,水,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3150》,《節中》,立冬十月せついぬの八刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3160》,《暦日2》,二／,きのえね,のそく,金,　,天しや よろつよし
《3170》,《暦日0》,三／,きのとのうし,みつ,,　,くゑ日 きこ
《3180》,《暦日2》,四／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《3190》,《暦日0》,五／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《3200》,《暦日2》,六／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《3210》,《暦日0》,七／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3220》,《暦日2》,八／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3230》,《暦日0》,九／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3240》,《暦日2》,十／,みつのえさる,おさん,金,　,●
《3250》,《暦日0》,十一／,みつのとのとり,ひらく,,　,十し
《3260》,《暦日2》,十二／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《3270》,《暦日0》,十三／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《3280》,《暦日2》,十四／,ひのえね,のそく,水,　,ふく日
《3290》,《暦日0》,十五／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《3300》,《暦日2》,十六／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3310》,《暦日0》,十七／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《3320》,《節中》,小雪十月中今暁うしの五刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《3330》,《暦日2》,十八／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《3340》,《暦日0》,十九／,かのとのみ,やふる,,　,天おん ちう日
《3350》,《暦日2》,廿／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3360》,《暦日0》,廿一／,みつのとのひつし,なる,,　,天おん
《3370》,《暦日2》,廿二／,きのえさる,おさん,水,十方くれニ入,●
《3380》,《暦日0》,廿三／,きのとのとり,ひらく,,　,十し
《3390》,《暦日2》,廿四／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3400》,《暦日0》,廿五／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3410》,《暦日2》,廿六／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3420》,《暦日0》,廿七／,つちのとのうし,みつ,,　,くゑ日 きこ
《3430》,《暦日2》,廿八／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3440》,《暦日0》,廿九／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3450》,《暦日1》,卅／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3460》,《月序》,十一月,大,建,丙子,箕宿　婁　金よう
《3470》,《暦日1》,一／,みつのとのみ,やふる,水,天一天上,ちう日
《3480》,《暦日1》,二／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3490》,《節中》,大雪十一月せつたつの二刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3500》,《暦日1》,三／,きのとのひつし,あやふ,金,　,大みやう 五む日  ものたちよし
《3510》,《暦日2》,四／,ひのえさる,なる,火,　,母倉
《3520》,《暦日0》,五／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《3530》,《暦日2》,六／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3540》,《暦日0》,七／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3550》,《暦日2》,八／,かのえね,たつ,土,　,さい下しき きしく  井ほりよし
《3560》,《暦日0》,九／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3570》,《暦日2》,十／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《3580》,《暦日0》,十一／,みつのとのう,たいら,,　,●
《3590》,《暦日2》,十二／,きのえたつ,さたん,火,　,大みやう
《3600》,《暦日0》,十三／,きのとのみ,とる,,　,十し
《3610》,《暦日2》,十四／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3620》,《暦日0》,十五／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《3630》,《暦日2》,十六／,つちのえさる,なる,土,　,母倉  入学よし
《3640》,《暦日0》,十七／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《3650》,《節中》,冬至十一月中むまの七刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《3660》,《暦日2》,十八／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《3670》,《暦日0》,十九／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《3680》,《暦日2》,廿／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3690》,《暦日0》,廿一／,みつのとのうし,のそく,,ま日,天おん ふく日 わうまう  木こり  つめとりよし
《3700》,《暦日2》,廿二／,きのえとら,みつ,水,　,きこ  つめとりよし
《3710》,《暦日0》,廿三／,きのとのう,たいら,,　,●
《3720》,《暦日2》,廿四／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3730》,《暦日0》,廿五／,ひのとのみ,とる,,　,十し
《3740》,《暦日2》,廿六／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3750》,《暦日0》,廿七／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3760》,《暦日2》,廿八／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3770》,《暦日0》,廿九／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3780》,《暦日1》,卅／,みつのえいぬ,ひらく,水,ま日,月とく
《3790》,《月序》,十二月,小,建,丁丑,斗宿　昴　日よう
《3800》,《暦日1》,一／,みつのとのい,とつ,水,八せんのおはり,ちう日 ふく日
《3810》,《暦日1》,二／,きのえね,とつ,金,　,天しや よろつよし
《3820》,《節中》,小寒十二月せつとりの四刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3830》,《暦日1》,三／,きのとのうし,たつ,金,　,十し
《3840》,《暦日2》,四／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《3850》,《暦日0》,五／,ひのとのう,みつ,,　,神よし 天おん
《3860》,《暦日2》,六／,つちのえたつ,たいら,木,　,きしく 天おん 五む日 大くわ ふく日 地火
《3870》,《暦日0》,七／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《3880》,《暦日2》,八／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《3890》,《暦日0》,九／,かのとのひつし,やふる,,　,大みやう  かといてよし
《3900》,《暦日2》,十／,みつのえさる,あやふ,金,　,神よし 大みやう
《3910》,《暦日0》,十一／,みつのとのとり,なる,,　,●
《3920》,《暦日2》,十二／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《3930》,《暦日0》,十三／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《3940》,《暦日2》,十四／,ひのえね,とつ,水,とよういの五刻ニ入,きこ ちいみ
《3950》,《暦日0》,十五／,ひのとのうし,たつ,,　,十し
《3960》,《暦日2》,十六／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《3970》,《暦日0》,十七／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日  正月ことはしめよし
《3980》,《節中》,大寒十二月中今夜ねの一刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《3990》,《暦日2》,十八／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《4000》,《暦日0》,十九／,かのとのみ,さたん,,　,天おん 母倉 ちう日  すゝはらひよし
《4010》,《暦日2》,廿／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《4020》,《暦日0》,廿一／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《4030》,《暦日2》,廿二／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《4040》,《暦日0》,廿三／,きのとのとり,なる,,　,●
《4050》,《暦日2》,廿四／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4060》,《暦日0》,廿五／,ひのとのい,ひらく,,　,大みやう ちう日
《4070》,《暦日2》,廿六／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4080》,《暦日0》,廿七／,つちのとのうし,たつ,,　,十し
《4090》,《暦日2》,廿八／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《4100》,《暦日0》,廿九／,かのとのう,みつ,,　,神よし  よめとりよし
《4110》,《暦末》,天保九年出,立表測景定節氣者
