《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/91 ～ 95
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1826g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1826h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,文政九年ひのえいぬ乃寛政暦,參宿/値年,凡三百五十四日
《0120》,《大歳》,大さいいぬの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんさるの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《0160》,《歳刑》,さいけうひつしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはたつの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月大
《0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《0210》,《月序》,正月,大,建,庚寅,牛宿値月尾宿火曜値朔日
《2820》,《月序》,九月,小,建,戊戌,胃宿　畢　月よう
《2830》,《暦日2》,一／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2840》,《暦日0》,二／,かのとのみ,なる,,　,十し
《2850》,《暦日2》,三／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《2860》,《暦日0》,四／,みつのとのひつし,ひらく,,　,●
《2870》,《暦日2》,五／,きのえさる,とつ,水,十方くれニ入,神よし きしく 大みやう  竹木こり 田かりよし
《2880》,《暦日0》,六／,きのとのとり,とつ,,　,神よし  田かりよし
《2890》,《節中》,寒露九月せつうの八刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《2900》,《暦日2》,七／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《2910》,《暦日0》,八／,ひのとのい,のそく,,　,大みやう ちう日
《2920》,《暦日2》,九／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《2930》,《暦日0》,十／,つちのとのうし,たいら,,　,十し
《2940》,《暦日2》,十一／,かのえとら,さたん,木,　,●
《2950》,《暦日0》,十二／,かのとのう,とる,,　,くゑ日
《2960》,《暦日2》,十三／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《2970》,《暦日0》,十四／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《2980》,《暦日2》,十五／,きのえむま,なる,金,　,くゑ日
《2990》,《暦日0》,十六／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《3000》,《暦日2》,十七／,ひのえさる,ひらく,火,　,くゑ日
《3010》,《暦日0》,十八／,ひのとのとり,とつ,,とようむまの初刻ニ入,くゑ日
《3020》,《暦日2》,十九／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《3030》,《暦日0》,廿／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《3040》,《暦日1》,廿一／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《3050》,《節中》,霜降九月中むまの五刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《3060》,《暦日1》,廿二／,かのとのうし,たいら,土,　,十し
《3070》,《暦日2》,廿三／,みつのえとら,さたん,金,　,●
《3080》,《暦日0》,廿四／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《3090》,《暦日2》,廿五／,きのえたつ,やふる,火,　,大みやう
《3100》,《暦日0》,廿六／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《3110》,《暦日2》,廿七／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《3120》,《暦日0》,廿八／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《3130》,《暦日1》,廿九／,つちのえさる,ひらく,土,　,天しや よろつよし
《3140》,《月序》,十月,小,建,己亥,昴宿　觜　火よう
《3150》,《暦日1》,一／,つちのとのとり,とつ,土,　,神よし 大みやう 天おん ふく日  たねまきよし
《3160》,《暦日2》,二／,かのえいぬ,たつ,金,　,大みやう くゑ日
《3170》,《暦日0》,三／,かのとのい,のそく,,　,さい下しき 大みやう 天おん 月とく ちう日 わうまう  田かりよし
《3180》,《暦日2》,四／,みつのえね,みつ,木,八せんのはしめ,神よし きしく 天おん きこ 天火 らうしやく
《3190》,《暦日0》,五／,みつのとのうし,たいら,,ま日,十し
《3200》,《暦日2》,六／,きのえとら,さたん,水,　,●
《3210》,《暦日0》,七／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3220》,《節中》,立冬十月せつとりの一刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3230》,《暦日2》,八／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3240》,《暦日0》,九／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3250》,《暦日2》,十／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3260》,《暦日0》,十一／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《3270》,《暦日2》,十二／,かのえさる,おさん,木,　,●
《3280》,《暦日0》,十三／,かのとのとり,ひらく,,　,十し
《3290》,《暦日2》,十四／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3300》,《暦日0》,十五／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3310》,《食記》,月そく皆既
《3320》,《暦日2》,十六／,きのえね,のそく,金,　,天しや よろつよし
《3330》,《暦日0》,十七／,きのとのうし,みつ,,　,くゑ日 きこ
《3340》,《暦日2》,十八／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《3350》,《暦日0》,十九／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《3360》,《暦日2》,廿／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《3370》,《暦日0》,廿一／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3380》,《暦日1》,廿二／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3390》,《節中》,小雪十月中いの七刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《3400》,《暦日1》,廿三／,かのとのひつし,なる,土,　,大みやう  やたて ものたちよし
《3410》,《暦日2》,廿四／,みつのえさる,おさん,金,　,●
《3420》,《暦日0》,廿五／,みつのとのとり,ひらく,,　,十し
《3430》,《暦日2》,廿六／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《3440》,《暦日0》,廿七／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《3450》,《暦日2》,廿八／,ひのえね,のそく,水,　,ふく日
《3460》,《暦日0》,廿九／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《3470》,《月序》,十一月,大,建,庚子,畢宿　參　水よう
《3480》,《暦日2》,一／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3490》,《暦日0》,二／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《3500》,《暦日2》,三／,かのえたつ,とる,金,　,きしく 天おん  けんふく よめとりよし
《3510》,《暦日0》,四／,かのとのみ,やふる,,　,天おん ちう日
《3520》,《暦日2》,五／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3530》,《暦日0》,六／,みつのとのひつし,なる,,　,天おん
《3540》,《暦日2》,七／,きのえさる,おさん,水,十方くれニ入,●
《3550》,《暦日0》,八／,きのとのとり,ひらく,,　,十し
《3560》,《暦日1》,九／,ひのえいぬ,ひらく,土,　,五む日
《3570》,《節中》,大雪十一月せつ今暁とらの三刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3580》,《暦日1》,十／,ひのとのい,とつ,土,　,大みやう 月とく ちう日 ふく日
《3590》,《暦日2》,十一／,つちのえね,たつ,火,　,くゑ日
《3600》,《暦日0》,十二／,つちのとのうし,のそく,,　, つめとりよし
《3610》,《暦日2》,十三／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3620》,《暦日0》,十四／,かのとのう,たいら,,　,●
《3630》,《暦日2》,十五／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《3640》,《暦日0》,十六／,みつのとのみ,とる,,天一天上,十し
《3650》,《暦日2》,十七／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3660》,《暦日0》,十八／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3670》,《暦日2》,十九／,ひのえさる,なる,火,　,母倉
《3680》,《暦日0》,廿／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《3690》,《暦日2》,廿一／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3700》,《暦日0》,廿二／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3710》,《暦日2》,廿三／,かのえね,たつ,土,　, 井ほりよし
《3720》,《暦日0》,廿四／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3730》,《節中》,冬至十一月中みの初刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《3740》,《暦日2》,廿五／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《3750》,《暦日0》,廿六／,みつのとのう,たいら,,　,●
《3760》,《暦日2》,廿七／,きのえたつ,さたん,火,　,大みやう
《3770》,《暦日0》,廿八／,きのとのみ,とる,,　,十し
《3780》,《暦日2》,廿九／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3790》,《暦日0》,卅／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《3800》,《月序》,十二月,小,建,辛丑,觜宿　鬼　金よう
《3810》,《暦日2》,一／,つちのえさる,なる,土,　,きしく 母倉  入学よし
《3820》,《暦日0》,二／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《3830》,《暦日2》,三／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《3840》,《暦日0》,四／,かのとのい,とつ,,　,さい下しき 神よし 大みやう 天おん ちう日
《3850》,《暦日2》,五／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3860》,《暦日0》,六／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《3870》,《暦日2》,七／,きのえとら,みつ,水,　,きこ  つめとりよし
《3880》,《暦日0》,八／,きのとのう,たいら,,　,●
《3890》,《暦日1》,九／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《3900》,《節中》,小寒十二月せつひつしの五刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3910》,《暦日1》,十／,ひのとのみ,さたん,土,　,母倉 ちう日
《3920》,《暦日2》,十一／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《3930》,《暦日0》,十二／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《3940》,《暦日2》,十三／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《3950》,《暦日0》,十四／,かのとのとり,なる,,　,●
《3960》,《暦日2》,十五／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《3970》,《暦日0》,十六／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《3980》,《暦日2》,十七／,きのえね,とつ,金,　,天しや よろつよし
《3990》,《暦日0》,十八／,きのとのうし,たつ,,　,十し
《4000》,《暦日2》,十九／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《4010》,《暦日0》,廿／,ひのとのう,みつ,,　,神よし 天おん
《4020》,《暦日2》,廿一／,つちのえたつ,たいら,木,とようとりの六刻ニ入,天おん 五む日 大くわ ふく日 地火
《4030》,《暦日0》,廿二／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《4040》,《暦日2》,廿三／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《4050》,《暦日0》,廿四／,かのとのひつし,やふる,,　,大みやう  かといてよし
《4060》,《節中》,大寒十二月中いぬの二刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《4070》,《暦日2》,廿五／,みつのえさる,あやふ,金,　,神よし 大みやう
《4080》,《暦日0》,廿六／,みつのとのとり,なる,,　,●
《4090》,《暦日2》,廿七／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《4100》,《暦日0》,廿八／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《4110》,《暦日1》,廿九／,ひのえね,とつ,水,　,きしく きこ ちいみ
《4120》,《暦末》,文政八年出,立表測景定節氣者
