《1706-0000》,# カンマ区切りテキスト形式です。
《1706-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1706-0020》,# ・表の区画内での改行は“/”で表記します。
《1706-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1706-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1706-0050》,# 外部リンク
《1706-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2535422/13 ～ 18
《1706-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1706g　(GitHub上データを表成型)
《1706-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1706h　(翻刻編集データを表成型 - 未実装)
《1706-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1706-0100》,《版元》,出版地○○,出版元□□□,　
《1706-0110》,《暦首》,宝永三年ひのえいぬ乃貞享暦,室宿/値年,凡三百五十五日
《1706-0120》,《大歳》,大さいいぬの方,此方ニむかひて万よし/但木をきらす
《1706-0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《1706-0140》,《大陰》,大おんさるの方,此方ニむかひて/さんをせす
《1706-0150》,《歳徳》,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1706-0160》,《歳刑》,さいけうひつしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1706-0170》,《歳破》,さいはたつの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月小
《1706-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月小
《1706-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月大,八月大,九月小
《1706-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月大
《1706-0210》,《月序》,正月,大,建,庚寅,星宿値月氐宿土曜値朔日
《1706-2770》,《暦日0》,十二／,ひのとのう,とる,,　,神よし  田かりよし
《1706-2780》,《暦日2》,十三／,つちのえたつ,やふる,木,とようたつの三刻ニ入,五む日 ふく日
《1706-2790》,《暦日0》,十四／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《1706-2800》,《暦日1》,十五／,かのえむま,なる,土,　
《1706-2810》,《食記》,月そく五分
《1706-2820》,《暦日1》,十六／,かのとのひつし,おさん,土,九月中たつの八刻,大みやう 大くわ  たねまき 田かりよし
《1706-2830》,《暦日2》,十七／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《1706-2840》,《暦日0》,十八／,みつのとのとり,とつ,,　,神よし 大みやう
《1706-2850》,《暦日2》,十九／,きのえいぬ,たつ,火,　,くゑ日
《1706-2860》,《暦日0》,廿／,きのとのい,のそく,,　,ちう日  田かりよし
《1706-2870》,《暦日2》,廿一／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《1706-2880》,《暦日0》,廿二／,ひのとのうし,たいら,,　,十し
《1706-2890》,《暦日2》,廿三／,つちのえとら,さたん,土,　,●
《1706-2900》,《暦日0》,廿四／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《1706-2910》,《暦日2》,廿五／,かのえたつ,やふる,金,　
《1706-2920》,《暦日0》,廿六／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1706-2930》,《暦日2》,廿七／,みつのえむま,なる,木,　,大みやう わうまう  けんふくよし
《1706-2940》,《暦日0》,廿八／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《1706-2950》,《暦日1》,廿九／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1706-2960》,《月序》,十月,大,建,己亥,尾宿　婁　金よう
《1706-2970》,《暦日1》,一／,きのとのとり,とつ,水,　,神よし  田かりよし
《1706-2980》,《暦日2》,二／,ひのえいぬ,とつ,土,立冬十月せつひつしの五刻ニ入,五む日 ふく日
《1706-2990》,《暦日0》,三／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1706-3000》,《暦日2》,四／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《1706-3010》,《暦日0》,五／,つちのとのうし,みつ,,　,くゑ日 きこ
《1706-3020》,《暦日2》,六／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《1706-3030》,《暦日0》,七／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《1706-3040》,《暦日2》,八／,みつのえたつ,とる,水,　,きしく 大みやう 五む日 ふく日
《1706-3050》,《暦日0》,九／,みつのとのみ,やふる,,天一天上,ちう日
《1706-3060》,《暦日2》,十／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《1706-3070》,《暦日0》,十一／,きのとのひつし,なる,,　,大みやう 五む日 わうまう  みそさけつくり 木こりよし
《1706-3080》,《暦日2》,十二／,ひのえさる,おさん,火,　,●
《1706-3090》,《暦日0》,十三／,ひのとのとり,ひらく,,　,十し
《1706-3100》,《暦日2》,十四／,つちのえいぬ,とつ,木,　,くゑ日
《1706-3110》,《暦日0》,十五／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《1706-3120》,《暦日2》,十六／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《1706-3130》,《暦日0》,十七／,かのとのうし,みつ,,十月中いぬの二刻,五む日 くゑ日 きこ
《1706-3140》,《暦日2》,十八／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《1706-3150》,《暦日0》,十九／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《1706-3160》,《暦日2》,廿／,きのえたつ,とる,火,　,大みやう  やたて かとたてよし
《1706-3170》,《暦日0》,廿一／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《1706-3180》,《暦日2》,廿二／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《1706-3190》,《暦日0》,廿三／,ひのとのひつし,なる,,　, 木こりよし
《1706-3200》,《暦日2》,廿四／,つちのえさる,おさん,土,　,●
《1706-3210》,《暦日0》,廿五／,つちのとのとり,ひらく,,　,十し
《1706-3220》,《暦日2》,廿六／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《1706-3230》,《暦日0》,廿七／,かのとのい,たつ,,　,さい下しき 大みやう ちいみ ちう日 下しきさるの時
《1706-3240》,《暦日2》,廿八／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《1706-3250》,《暦日0》,廿九／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《1706-3260》,《暦日1》,卅／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《1706-3270》,《月序》,十一月,大,建,庚子,箕宿　昴　日よう
《1706-3280》,《暦日1》,一／,きのとのう,さたん,水,　,神よし 天火 らうしやく  けんふく ものたちよし
《1706-3290》,《暦日2》,二／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《1706-3300》,《暦日0》,三／,ひのとのみ,とる,,十一月せつねの七刻ニ入,十し
《1706-3310》,《暦日2》,四／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1706-3320》,《暦日0》,五／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1706-3330》,《暦日2》,六／,かのえさる,なる,木,　,きしく 大みやう  入学 みそさけつくりよし
《1706-3340》,《暦日0》,七／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《1706-3350》,《暦日2》,八／,みつのえいぬ,ひらく,水,ま日
《1706-3360》,《暦日0》,九／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《1706-3370》,《暦日2》,十／,きのえね,たつ,金,　,天しや よろつよし
《1706-3380》,《暦日0》,十一／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《1706-3390》,《暦日2》,十二／,ひのえとら,みつ,火,　,きこ  つめとりよし
《1706-3400》,《暦日0》,十三／,ひのとのう,たいら,,　,●
《1706-3410》,《暦日2》,十四／,つちのえたつ,さたん,木,　,五む日
《1706-3420》,《暦日0》,十五／,つちのとのみ,とる,,　,十し
《1706-3430》,《暦日2》,十六／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1706-3440》,《暦日0》,十七／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《1706-3450》,《暦日2》,十八／,みつのえさる,なる,金,冬至十一月中うの四刻,大みやう  いちたちよし
《1706-3460》,《暦日0》,十九／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《1706-3470》,《暦日2》,廿／,きのえいぬ,ひらく,火,　
《1706-3480》,《暦日0》,廿一／,きのとのい,とつ,,　,ちう日
《1706-3490》,《暦日2》,廿二／,ひのえね,たつ,水,　,わうまう  木こりよし
《1706-3500》,《暦日0》,廿三／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1706-3510》,《暦日2》,廿四／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《1706-3520》,《暦日0》,廿五／,つちのとのう,たいら,,　,●
《1706-3530》,《暦日2》,廿六／,かのえたつ,さたん,金,　, たねまきよし
《1706-3540》,《暦日0》,廿七／,かのとのみ,とる,,　,十し
《1706-3550》,《暦日2》,廿八／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《1706-3560》,《暦日0》,廿九／,みつのとのひつし,あやふ,,　,ふく日
《1706-3570》,《暦日1》,卅／,きのえさる,なる,水,十方くれニ入,大みやう
《1706-3580》,《月序》,十二月,大,建,辛丑,斗宿　觜　火よう
《1706-3590》,《暦日1》,一／,きのとのとり,おさん,水,　,神よし 大くわ  ものたちよし
《1706-3600》,《暦日2》,二／,ひのえいぬ,ひらく,土,　,五む日
《1706-3610》,《暦日0》,三／,ひのとのい,ひらく,,小かん十二月せつむまの初刻ニ入,大みやう ちう日
《1706-3620》,《暦日2》,四／,つちのえね,とつ,火,　,きしく くゑ日 きこ ちいみ ふく日
《1706-3630》,《暦日0》,五／,つちのとのうし,たつ,,　,十し
《1706-3640》,《暦日2》,六／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《1706-3650》,《暦日0》,七／,かのとのう,みつ,,　,神よし  よめとりよし
《1706-3660》,《暦日2》,八／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《1706-3670》,《暦日0》,九／,みつのとのみ,さたん,,天一天上,ちう日
《1706-3680》,《暦日2》,十／,きのえむま,とる,金,　,神よし  けんふく ふねのりよし
《1706-3690》,《暦日0》,十一／,きのとのひつし,やふる,,　,大みやう 五む日
《1706-3700》,《暦日2》,十二／,ひのえさる,あやふ,火,　,神よし  木こりよし
《1706-3710》,《暦日0》,十三／,ひのとのとり,なる,,　,●
《1706-3720》,《暦日2》,十四／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《1706-3730》,《暦日0》,十五／,つちのとのい,ひらく,,とようさるの一刻ニ入,ちう日 ふく日
《1706-3740》,《暦日2》,十六／,かのえね,とつ,土,　,神よし きこ ちいみ
《1706-3750》,《暦日0》,十七／,かのとのうし,たつ,,　,十し
《1706-3760》,《暦日2》,十八／,みつのえとら,のそく,金,大かん十二月中さるの六刻,大みやう  けんふく  つめとりよし
《1706-3770》,《暦日0》,十九／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《1706-3780》,《暦日2》,廿／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《1706-3790》,《暦日0》,廿一／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《1706-3800》,《暦日2》,廿二／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《1706-3810》,《暦日0》,廿三／,ひのとのひつし,やふる,,　,くゑ日
《1706-3820》,《暦日2》,廿四／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《1706-3830》,《暦日0》,廿五／,つちのとのとり,なる,,　,●
《1706-3840》,《暦日2》,廿六／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《1706-3850》,《暦日0》,廿七／,かのとのい,ひらく,,　,さい下しき 大みやう ちう日  正月ことはしめよし
《1706-3860》,《暦日2》,廿八／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《1706-3870》,《暦日0》,廿九／,みつのとのうし,たつ,,ま日,十し
《1706-3880》,《暦日1》,卅／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1706-3890》,《暦末》,宝永二年出,立表測景定節氣者
