《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/68 ～ 73
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1759g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1759h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,宝暦九年つちのとのう乃宝暦甲戌元暦,女宿/値年,凡三百八十四日
《0120》,《大歳》,大さいうの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんうしの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《0160》,《歳刑》,さいけうねの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはとりの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大/閏七月小,八月大,九月大
《0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《0210》,《月序》,正月,小,建,丙寅,胃宿値月張宿月曜値朔日
《2800》,《暦日1》,一／,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
《2810》,《節中》,秋分八月中さるの五刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2820》,《暦日1》,二／,つちのとのう,やふる,土,　,大みやう 天おん
《2830》,《暦日2》,三／,かのえたつ,あやふ,金,　,天おん 母倉 月とく わうまう
《2840》,《暦日0》,四／,かのとのみ,なる,,　,十し
《2850》,《暦日2》,五／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《2860》,《暦日0》,六／,みつのとのひつし,ひらく,,　,●
《2870》,《暦日2》,七／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2880》,《暦日0》,八／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2890》,《暦日2》,九／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《2900》,《暦日0》,十／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2910》,《暦日2》,十一／,つちのえね,たいら,火,　,大くわ 地火
《2920》,《暦日0》,十二／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《2930》,《暦日2》,十三／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2940》,《暦日0》,十四／,かのとのう,やふる,,　,ふく日  田かりよし
《2950》,《暦日2》,十五／,みつのえたつ,あやふ,水,　,さい下しき きしく 大みやう 母倉 五む日
《2960》,《暦日0》,十六／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《2970》,《節中》,寒露九月せついの二刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《2980》,《暦日2》,十七／,きのえむま,なる,金,　,くゑ日
《2990》,《暦日0》,十八／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《3000》,《暦日2》,十九／,ひのえさる,ひらく,火,　,くゑ日
《3010》,《暦日0》,廿／,ひのとのとり,とつ,,　,くゑ日
《3020》,《暦日2》,廿一／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《3030》,《暦日0》,廿二／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《3040》,《暦日2》,廿三／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《3050》,《暦日0》,廿四／,かのとのうし,たいら,,　,十し
《3060》,《暦日2》,廿五／,みつのえとら,さたん,金,　,●
《3070》,《暦日0》,廿六／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《3080》,《暦日2》,廿七／,きのえたつ,やふる,火,　,大みやう
《3090》,《暦日0》,廿八／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《3100》,《暦日2》,廿九／,ひのえむま,なる,水,とよう今暁うしの三刻ニ入,神よし 大みやう 母倉 月とく  いちたちよし
《3110》,《暦日0》,卅／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《3120》,《月序》,九月,大,建,甲戌,星宿　虛　日よう
《3130》,《暦日2》,一／,つちのえさる,ひらく,土,　,天しや よろつよし
《3140》,《暦日0》,二／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《3150》,《節中》,霜降九月中今暁うしの七刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3160》,《暦日2》,三／,かのえいぬ,たつ,金,　,大みやう くゑ日
《3170》,《暦日0》,四／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《3180》,《暦日2》,五／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《3190》,《暦日0》,六／,みつのとのうし,たいら,,ま日,十し
《3200》,《暦日2》,七／,きのえとら,さたん,水,　,●
《3210》,《暦日0》,八／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3220》,《暦日2》,九／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《3230》,《暦日0》,十／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《3240》,《暦日2》,十一／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《3250》,《暦日0》,十二／,つちのとのひつし,おさん,,　,大みやう 母倉 大くわ ふく日 わうまう  かといてよし
《3260》,《暦日2》,十三／,かのえさる,ひらく,木,　,きしく 大みやう
《3270》,《暦日0》,十四／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《3280》,《暦日2》,十五／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《3290》,《暦日0》,十六／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《3300》,《暦日1》,十七／,きのえね,のそく,金,　,天しや よろつよし
《3310》,《節中》,立冬十月せつたつの四刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3320》,《暦日1》,十八／,きのとのうし,みつ,金,　,くゑ日 きこ
《3330》,《暦日2》,十九／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《3340》,《暦日0》,廿／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《3350》,《暦日2》,廿一／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《3360》,《暦日0》,廿二／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3370》,《暦日2》,廿三／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3380》,《暦日0》,廿四／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3390》,《暦日2》,廿五／,みつのえさる,おさん,金,　,●
《3400》,《暦日0》,廿六／,みつのとのとり,ひらく,,　,十し
《3410》,《暦日2》,廿七／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《3420》,《暦日0》,廿八／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《3430》,《暦日2》,廿九／,ひのえね,のそく,水,　,ふく日
《3440》,《暦日0》,卅／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《3450》,《月序》,十月,小,建,乙亥,張宿　室　火よう
《3460》,《暦日2》,一／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3470》,《暦日0》,二／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《3480》,《節中》,小雪十月中ひつしの一刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3490》,《暦日2》,三／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《3500》,《暦日0》,四／,かのとのみ,やふる,,　,天おん ちう日
《3510》,《暦日2》,五／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3520》,《暦日0》,六／,みつのとのひつし,なる,,　,天おん
《3530》,《暦日2》,七／,きのえさる,おさん,水,十方くれニ入,●
《3540》,《暦日0》,八／,きのとのとり,ひらく,,　,十し
《3550》,《暦日2》,九／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3560》,《暦日0》,十／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3570》,《暦日2》,十一／,つちのえね,のそく,火,　,きしく くゑ日  たねまきよし
《3580》,《暦日0》,十二／,つちのとのうし,みつ,,　,くゑ日 きこ
《3590》,《暦日2》,十三／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3600》,《暦日0》,十四／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3610》,《暦日2》,十五／,みつのえたつ,とる,水,　,さい下しき 大みやう 五む日 ふく日
《3620》,《暦日0》,十六／,みつのとのみ,やふる,,天一天上,ちう日
《3630》,《暦日1》,十七／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3640》,《節中》,大雪十一月せつとりの六刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3650》,《暦日1》,十八／,きのとのひつし,あやふ,金,　,大みやう 五む日  ものたちよし
《3660》,《暦日2》,十九／,ひのえさる,なる,火,　,母倉
《3670》,《暦日0》,廿／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《3680》,《暦日2》,廿一／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3690》,《暦日0》,廿二／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3700》,《暦日2》,廿三／,かのえね,たつ,土,　, 井ほりよし
《3710》,《暦日0》,廿四／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3720》,《暦日2》,廿五／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《3730》,《暦日0》,廿六／,みつのとのう,たいら,,　,●
《3740》,《暦日2》,廿七／,きのえたつ,さたん,火,　,大みやう
《3750》,《暦日0》,廿八／,きのとのみ,とる,,　,十し
《3760》,《暦日1》,廿九／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3770》,《月序》,十一月,大,建,丙子,翼宿　壁　水よう
《3780》,《暦日1》,一／,ひのとのひつし,あやふ,水,　,神よし 月とく ふく日  いちたちよし
《3790》,《暦日2》,二／,つちのえさる,なる,土,　,母倉  入学よし
《3800》,《暦日0》,三／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《3810》,《節中》,冬至十一月中今夜ねの三刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3820》,《暦日2》,四／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《3830》,《暦日0》,五／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《3840》,《暦日2》,六／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3850》,《暦日0》,七／,みつのとのうし,のそく,,ま日,天おん ふく日 わうまう  木こり  つめとりよし
《3860》,《暦日2》,八／,きのえとら,みつ,水,　,きこ  つめとりよし
《3870》,《暦日0》,九／,きのとのう,たいら,,　,●
《3880》,《暦日2》,十／,ひのえたつ,さたん,土,ま日,きしく 大みやう  けんふく かといてよし
《3890》,《暦日0》,十一／,ひのとのみ,とる,,　,十し
《3900》,《暦日2》,十二／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3910》,《暦日0》,十三／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3920》,《暦日2》,十四／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3930》,《暦日0》,十五／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3940》,《暦日2》,十六／,みつのえいぬ,ひらく,水,ま日,月とく
《3950》,《暦日0》,十七／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3960》,《暦日2》,十八／,きのえね,たつ,金,　,天しや よろつよし
《3970》,《暦日0》,十九／,きのとのうし,たつ,,　,十し
《3980》,《節中》,小寒十二月せつ今暁とらの八刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3990》,《暦日2》,廿／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《4000》,《暦日0》,廿一／,ひのとのう,みつ,,　,神よし 天おん
《4010》,《暦日2》,廿二／,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
《4020》,《暦日0》,廿三／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《4030》,《暦日2》,廿四／,かのえむま,とる,土,　,神よし 母倉 月とく
《4040》,《暦日0》,廿五／,かのとのひつし,やふる,,　,大みやう  かといてよし
《4050》,《暦日2》,廿六／,みつのえさる,あやふ,金,　,神よし 大みやう
《4060》,《暦日0》,廿七／,みつのとのとり,なる,,　,●
《4070》,《暦日2》,廿八／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《4080》,《暦日0》,廿九／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《4090》,《暦日1》,卅／,ひのえね,とつ,水,　,きこ ちいみ
《4100》,《月序》,十二月,大,建,丁丑,軫宿　婁　金よう
《4110》,《暦日1》,一／,ひのとのうし,たつ,水,とようみの初刻ニ入,十し
《4120》,《暦日2》,二／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《4130》,《暦日0》,三／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日  正月ことはしめよし
《4140》,《暦日1》,四／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《4150》,《節中》,大寒十二月中みの五刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4160》,《暦日1》,五／,かのとのみ,さたん,金,　,天おん 母倉 ちう日  すゝはらひよし
《4170》,《暦日2》,六／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《4180》,《暦日0》,七／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《4190》,《暦日2》,八／,きのえさる,あやふ,水,十方くれニ入,神よし きしく 大みやう
《4200》,《暦日0》,九／,きのとのとり,なる,,　,●
《4210》,《暦日2》,十／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4220》,《暦日0》,十一／,ひのとのい,ひらく,,　,大みやう ちう日
《4230》,《暦日2》,十二／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4240》,《暦日0》,十三／,つちのとのうし,たつ,,　,十し
《4250》,《暦日2》,十四／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《4260》,《暦日0》,十五／,かのとのう,みつ,,　,神よし  よめとりよし
《4270》,《暦日2》,十六／,みつのえたつ,たいら,水,　,さい下しき 大みやう 五む日 大くわ 地火
《4280》,《暦日0》,十七／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《4290》,《暦日2》,十八／,きのえむま,とる,金,せつふん,母倉 わうまう  けんふく ふねのりよし
《4300》,《暦日0》,十九／,きのとのひつし,とる,,　,大みやう 五む日
《4310》,《節中》,立春正月せつさるの二刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《4320》,《暦日2》,廿／,ひのえさる,やふる,火,　,神よし 月とく
《4330》,《暦日0》,廿一／,ひのとのとり,あやふ,,　,十し
《4340》,《暦日2》,廿二／,つちのえいぬ,なる,木,　,●
《4350》,《暦日0》,廿三／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《4360》,《暦日2》,廿四／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《4370》,《暦日0》,廿五／,かのとのうし,とつ,,　,月とく 五む日 きこ ちいみ わうまう  ものたち  つめとりよし
《4380》,《暦日2》,廿六／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《4390》,《暦日0》,廿七／,みつのとのう,のそく,,　,神よし  あさまきよし
《4400》,《暦日2》,廿八／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《4410》,《暦日0》,廿九／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《4420》,《暦日1》,卅／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《4430》,《暦末》,宝暦八年出,立表測景定節氣者
