《1856-0000》,# カンマ区切りテキスト形式です。
《1856-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1856-0020》,# ・表の区画内での改行は“/”で表記します。
《1856-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1856-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1856-0050》,# 外部リンク
《1856-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/29 ～ 37
《1856-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1856g　(GitHub上データを表成型)
《1856-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1856h　(翻刻編集データを表成型 - 未実装)
《1856-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1856-0100》,《版元》,出版地○○,出版元□□□,　
《1856-0110》,《暦首》,安政三年ひのえたつ乃天保壬寅元暦,鬼宿/値年,凡三百五十五日
《1856-0120》,《大歳》,大さいたつの方,此方ニむかひて万よし/但木をきらす
《1856-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1856-0140》,《大陰》,大おんとらの方,此方ニむかひて/さんをせす
《1856-0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1856-0160》,《歳刑》,さいけうたつの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1856-0170》,《歳破》,さいはいぬの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月小
《1856-0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月大,五月小,六月大
《1856-0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月小,八月大,九月大
《1856-0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1856-0210》,《月序》,正月,大,建,庚寅,心宿値月壁宿水曜値朔日
《1856-2650》,《暦日2》,十六／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《1856-2660》,《暦日0》,十七／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《1856-2670》,《暦日2》,十八／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1856-2680》,《暦日0》,十九／,みつのとのう,やふる,,　, くらたて 田かりよし
《1856-2690》,《暦日2》,廿／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《1856-2700》,《暦日0》,廿一／,きのとのみ,なる,,　,十し
《1856-2710》,《暦日2》,廿二／,ひのえむま,おさん,水,ひかんニなる,大みやう めつもん
《1856-2720》,《暦日0》,廿三／,ひのとのひつし,ひらく,,　,●
《1856-2730》,《暦日2》,廿四／,つちのえさる,とつ,土,社日,天しや よろつよし
《1856-2740》,《暦日0》,廿五／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1856-2750》,《節中》,秋分八月中明六時三分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1856-2760》,《暦日2》,廿六／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ わうまう
《1856-2770》,《暦日0》,廿七／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《1856-2780》,《暦日2》,廿八／,みつのえね,たいら,木,八せんのはしめ,神よし きしく 天おん 大くわ 地火
《1856-2790》,《暦日0》,廿九／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《1856-2800》,《暦日1》,卅／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1856-2810》,《月序》,九月,大,建,戊戌,室宿　張　月よう
《1856-2820》,《暦日1》,一／,きのとのう,やふる,水,　,くゑ日 ふく日
《1856-2830》,《食記》,日そく四分半
《1856-2840》,《暦日2》,二／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《1856-2850》,《暦日0》,三／,ひのとのみ,なる,,　,十し
《1856-2860》,《暦日2》,四／,つちのえむま,おさん,火,ま日,めつもん
《1856-2870》,《暦日0》,五／,つちのとのひつし,ひらく,,　,●
《1856-2880》,《暦日2》,六／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《1856-2890》,《暦日0》,七／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1856-2900》,《暦日2》,八／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《1856-2910》,《暦日0》,九／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1856-2920》,《暦日1》,十／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《1856-2930》,《節中》,寒露九月せつ朝四時九分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《1856-2940》,《暦日1》,十一／,きのとのうし,たいら,金,　,十し
《1856-2950》,《暦日2》,十二／,ひのえとら,さたん,火,　,●
《1856-2960》,《暦日0》,十三／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《1856-2970》,《暦日2》,十四／,つちのえたつ,やふる,木,　,天おん 五む日 ふく日
《1856-2980》,《暦日0》,十五／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《1856-2990》,《暦日2》,十六／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《1856-3000》,《暦日0》,十七／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《1856-3010》,《暦日2》,十八／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《1856-3020》,《暦日0》,十九／,みつのとのとり,とつ,,　,神よし 大みやう
《1856-3030》,《暦日2》,廿／,きのえいぬ,たつ,火,　,くゑ日
《1856-3040》,《暦日0》,廿一／,きのとのい,のそく,,　,ちう日  田かりよし
《1856-3050》,《暦日2》,廿二／,ひのえね,みつ,水,とよう昼八時五分ニ入,月とく きこ 天火 らうしやく
《1856-3060》,《暦日0》,廿三／,ひのとのうし,たいら,,　,十し
《1856-3070》,《暦日2》,廿四／,つちのえとら,さたん,土,　,●
《1856-3080》,《暦日0》,廿五／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《1856-3090》,《節中》,霜降九月中昼八時二分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《1856-3100》,《暦日2》,廿六／,かのえたつ,やふる,金,　,きしく 天おん
《1856-3110》,《暦日0》,廿七／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《1856-3120》,《暦日2》,廿八／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《1856-3130》,《暦日0》,廿九／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《1856-3140》,《暦日1》,卅／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1856-3150》,《月序》,十月,大,建,己亥,壁宿　軫　水よう
《1856-3160》,《暦日1》,一／,きのとのとり,とつ,水,　,神よし  田かりよし
《1856-3170》,《暦日2》,二／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《1856-3180》,《暦日0》,三／,ひのとのい,のそく,,　,大みやう ちう日
《1856-3190》,《暦日2》,四／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《1856-3200》,《暦日0》,五／,つちのとのうし,たいら,,　,十し
《1856-3210》,《暦日2》,六／,かのえとら,さたん,木,　,●
《1856-3220》,《暦日0》,七／,かのとのう,とる,,　,くゑ日
《1856-3230》,《暦日2》,八／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《1856-3240》,《暦日0》,九／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1856-3250》,《暦日1》,十／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《1856-3260》,《節中》,立冬十月せつ昼八時一分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1856-3270》,《暦日1》,十一／,きのとのひつし,なる,金,　,大みやう 五む日  みそさけつくり 木こりよし
《1856-3280》,《暦日2》,十二／,ひのえさる,おさん,火,　,●
《1856-3290》,《暦日0》,十三／,ひのとのとり,ひらく,,　,十し
《1856-3300》,《暦日2》,十四／,つちのえいぬ,とつ,木,　,くゑ日
《1856-3310》,《暦日0》,十五／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《1856-3320》,《暦日2》,十六／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《1856-3330》,《暦日0》,十七／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《1856-3340》,《暦日2》,十八／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《1856-3350》,《暦日0》,十九／,みつのとのう,さたん,,　,天火 らうしやく わうまう
《1856-3360》,《暦日2》,廿／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《1856-3370》,《暦日0》,廿一／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《1856-3380》,《暦日2》,廿二／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《1856-3390》,《暦日0》,廿三／,ひのとのひつし,なる,,　, 木こりよし
《1856-3400》,《暦日2》,廿四／,つちのえさる,おさん,土,　,●
《1856-3410》,《暦日0》,廿五／,つちのとのとり,ひらく,,　,十し
《1856-3420》,《節中》,小雪十月中朝四時五分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《1856-3430》,《暦日2》,廿六／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《1856-3440》,《暦日0》,廿七／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《1856-3450》,《暦日2》,廿八／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《1856-3460》,《暦日0》,廿九／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《1856-3470》,《暦日1》,卅／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《1856-3480》,《月序》,十一月,小,建,庚子,奎宿　亢　金よう
《1856-3490》,《暦日1》,一／,きのとのう,さたん,水,　,神よし 天火 らうしやく  けんふく ものたちよし
《1856-3500》,《暦日2》,二／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《1856-3510》,《暦日0》,三／,ひのとのみ,やふる,,　,さい下しき くゑ日 ちう日
《1856-3520》,《暦日2》,四／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《1856-3530》,《暦日0》,五／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《1856-3540》,《暦日2》,六／,かのえさる,おさん,木,　,●
《1856-3550》,《暦日0》,七／,かのとのとり,ひらく,,　,十し
《1856-3560》,《暦日2》,八／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《1856-3570》,《暦日0》,九／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1856-3580》,《暦日1》,十／,きのえね,たつ,金,　,天しや よろつよし
《1856-3590》,《節中》,大雪十一月せつ今暁七時八分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1856-3600》,《暦日1》,十一／,きのとのうし,のそく,金,　,神よし 天おん  やたて  つめとりよし
《1856-3610》,《暦日2》,十二／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《1856-3620》,《暦日0》,十三／,ひのとのう,たいら,,　,●
《1856-3630》,《暦日2》,十四／,つちのえたつ,さたん,木,　,天おん 五む日
《1856-3640》,《暦日0》,十五／,つちのとのみ,とる,,　,十し
《1856-3650》,《暦日2》,十六／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1856-3660》,《暦日0》,十七／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《1856-3670》,《暦日2》,十八／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《1856-3680》,《暦日0》,十九／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《1856-3690》,《暦日2》,廿／,きのえいぬ,ひらく,火,　
《1856-3700》,《暦日0》,廿一／,きのとのい,とつ,,　,ちう日
《1856-3710》,《暦日2》,廿二／,ひのえね,たつ,水,　,きしく  木こりよし
《1856-3720》,《暦日0》,廿三／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《1856-3730》,《暦日1》,廿四／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《1856-3740》,《節中》,冬至十一月中夜四時九分日の出より日入まて,昼四十刻余/夜五十九刻半余,六より六まて,昼四十五刻半余/夜五十四刻余
《1856-3750》,《暦日1》,廿五／,つちのとのう,たいら,土,　,●
《1856-3760》,《暦日2》,廿六／,かのえたつ,さたん,金,　,天おん  たねまきよし
《1856-3770》,《暦日0》,廿七／,かのとのみ,とる,,　,十し
《1856-3780》,《暦日2》,廿八／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《1856-3790》,《暦日0》,廿九／,みつのとのひつし,あやふ,,　,天おん ふく日 わうまう
《1856-3800》,《月序》,十二月,大,建,辛丑,婁宿　氐　土よう
《1856-3810》,《暦日2》,一／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《1856-3820》,《暦日0》,二／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《1856-3830》,《暦日2》,三／,ひのえいぬ,ひらく,土,　,五む日
《1856-3840》,《暦日0》,四／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《1856-3850》,《暦日2》,五／,つちのえね,たつ,火,　,くゑ日
《1856-3860》,《暦日0》,六／,つちのとのうし,のそく,,　, つめとりよし
《1856-3870》,《暦日2》,七／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《1856-3880》,《暦日0》,八／,かのとのう,たいら,,　,●
《1856-3890》,《暦日2》,九／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《1856-3900》,《暦日0》,十／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《1856-3910》,《節中》,小寒十二月せつ夕七時六分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1856-3920》,《暦日2》,十一／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《1856-3930》,《暦日0》,十二／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《1856-3940》,《暦日2》,十三／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《1856-3950》,《暦日0》,十四／,ひのとのとり,なる,,　,●
《1856-3960》,《暦日2》,十五／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《1856-3970》,《暦日0》,十六／,つちのとのい,ひらく,,　,ちう日 ふく日
《1856-3980》,《暦日2》,十七／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《1856-3990》,《暦日0》,十八／,かのとのうし,たつ,,　,十し
《1856-4000》,《暦日2》,十九／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《1856-4010》,《暦日0》,廿／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《1856-4020》,《暦日2》,廿一／,きのえたつ,たいら,火,　,きしく 大みやう 大くわ 地火
《1856-4030》,《暦日0》,廿二／,きのとのみ,さたん,,とよう夜五時二分ニ入,大みやう 母倉 月とく ちう日  いちたちよし
《1856-4040》,《暦日2》,廿三／,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
《1856-4050》,《暦日0》,廿四／,ひのとのひつし,やふる,,　,くゑ日
《1856-4060》,《暦日1》,廿五／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《1856-4070》,《節中》,大寒十二月中朝四時日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《1856-4080》,《暦日1》,廿六／,つちのとのとり,なる,土,　,●
《1856-4090》,《暦日2》,廿七／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《1856-4100》,《暦日0》,廿八／,かのとのい,ひらく,,　,大みやう 天おん ちう日  正月ことはしめよし
《1856-4110》,《暦日2》,廿九／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《1856-4120》,《暦日0》,卅／,みつのとのうし,たつ,,ま日,十し
《1856-4130》,《暦末》,安政二年出,立表測景定節氣者
