《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/196 ～ 204
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1742g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1742h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,寛保二年みつのえいぬ乃貞享暦,參宿/値年,凡三百五十五日
《0120》,《大歳》,大さいいぬの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんさるの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《0160》,《歳刑》,さいけうひつしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはたつの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月小,六月大
《0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月大
《0210》,《月序》,正月,大,建,壬寅,牛宿値月危宿月曜値朔日
《2920》,《節中》,寒露九月せついぬの六刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《2930》,《暦日1》,九／,きのとのうし,たいら,金,　,十し
《2940》,《暦日2》,十／,ひのえとら,さたん,火,　,●
《2950》,《暦日0》,十一／,ひのとのう,とる,,　,神よし  田かりよし
《2960》,《暦日2》,十二／,つちのえたつ,やふる,木,　,五む日 ふく日
《2970》,《暦日0》,十三／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《2980》,《暦日2》,十四／,かのえむま,なる,土,　,神よし  みそすつくりよし
《2990》,《暦日0》,十五／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《3000》,《暦日2》,十六／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3010》,《暦日0》,十七／,みつのとのとり,とつ,,　,神よし 大みやう
《3020》,《暦日2》,十八／,きのえいぬ,たつ,火,　,くゑ日
《3030》,《暦日0》,十九／,きのとのい,のそく,,　,ちう日  田かりよし
《3040》,《暦日2》,廿／,ひのえね,みつ,水,とよう翌ねの七刻ニ入,きこ 天火 らうしやく
《3050》,《暦日0》,廿一／,ひのとのうし,たいら,,　,十し
《3060》,《暦日2》,廿二／,つちのえとら,さたん,土,　,●
《3070》,《暦日0》,廿三／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《3080》,《節中》,霜降九月中翌うしの三刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3090》,《暦日2》,廿四／,かのえたつ,やふる,金,　
《3100》,《暦日0》,廿五／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《3110》,《暦日2》,廿六／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《3120》,《暦日0》,廿七／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《3130》,《暦日2》,廿八／,きのえさる,ひらく,水,十方くれニ入,きしく 大みやう
《3140》,《暦日0》,廿九／,きのとのとり,とつ,,　,神よし  田かりよし
《3150》,《月序》,十月,大,建,辛亥,昴宿　星　日よう
《3160》,《暦日2》,一／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《3170》,《暦日0》,二／,ひのとのい,のそく,,　,大みやう ちう日
《3180》,《暦日2》,三／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《3190》,《暦日0》,四／,つちのとのうし,たいら,,　,十し
《3200》,《暦日2》,五／,かのえとら,さたん,木,　,●
《3210》,《暦日0》,六／,かのとのう,とる,,　,くゑ日
《3220》,《暦日2》,七／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《3230》,《暦日0》,八／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《3240》,《暦日2》,九／,きのえむま,なる,金,　,くゑ日
《3250》,《暦日0》,十／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3260》,《節中》,立冬十月せつ翌うの八刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3270》,《暦日2》,十一／,ひのえさる,おさん,火,　,●
《3280》,《暦日0》,十二／,ひのとのとり,ひらく,,　,十し
《3290》,《暦日2》,十三／,つちのえいぬ,とつ,木,　,くゑ日
《3300》,《暦日0》,十四／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3310》,《暦日2》,十五／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3320》,《暦日0》,十六／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3330》,《食記》,月そく五分
《3340》,《暦日2》,十七／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3350》,《暦日0》,十八／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3360》,《暦日2》,十九／,きのえたつ,とる,火,　,大みやう わうまう  やたて かとたてよし
《3370》,《暦日0》,廿／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3380》,《暦日2》,廿一／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3390》,《暦日0》,廿二／,ひのとのひつし,なる,,　, 木こりよし
《3400》,《暦日2》,廿三／,つちのえさる,おさん,土,　,●
《3410》,《暦日0》,廿四／,つちのとのとり,ひらく,,　,十し
《3420》,《暦日1》,廿五／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《3430》,《節中》,小雪十月中むまの五刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3440》,《暦日1》,廿六／,かのとのい,たつ,金,　,さい下しき 大みやう ちいみ ちう日 下しきさるの時
《3450》,《暦日2》,廿七／,みつのえね,のそく,木,八せんのはしめ,きしく くゑ日 ふく日
《3460》,《暦日0》,廿八／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3470》,《暦日2》,廿九／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《3480》,《暦日0》,卅／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3490》,《月序》,十一月,大,建,壬子,畢宿　翼　火よう
《3500》,《暦日2》,一／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3510》,《暦日0》,二／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3520》,《暦日2》,三／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3530》,《暦日0》,四／,つちのとのひつし,なる,,　,大みやう  かまぬり いちたちよし
《3540》,《暦日2》,五／,かのえさる,おさん,木,　,●
《3550》,《暦日0》,六／,かのとのとり,ひらく,,　,十し
《3560》,《暦日2》,七／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3570》,《暦日0》,八／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3580》,《暦日2》,九／,きのえね,のそく,金,　,天しや よろつよし
《3590》,《暦日0》,十／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《3600》,《節中》,大雪十一月せつとりの一刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3610》,《暦日2》,十一／,ひのえとら,みつ,火,　,きこ  つめとりよし
《3620》,《暦日0》,十二／,ひのとのう,たいら,,　,●
《3630》,《暦日2》,十三／,つちのえたつ,さたん,木,　,五む日
《3640》,《暦日0》,十四／,つちのとのみ,とる,,　,十し
《3650》,《暦日2》,十五／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3660》,《暦日0》,十六／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3670》,《暦日2》,十七／,みつのえさる,なる,金,　,大みやう  いちたちよし
《3680》,《暦日0》,十八／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《3690》,《暦日2》,十九／,きのえいぬ,ひらく,火,　
《3700》,《暦日0》,廿／,きのとのい,とつ,,　,ちう日
《3710》,《暦日2》,廿一／,ひのえね,たつ,水,　, 木こりよし
《3720》,《暦日0》,廿二／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《3730》,《暦日2》,廿三／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3740》,《暦日0》,廿四／,つちのとのう,たいら,,　,●
《3750》,《暦日1》,廿五／,かのえたつ,さたん,金,　,きしく  たねまきよし
《3760》,《節中》,冬至十一月中いの七刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3770》,《暦日1》,廿六／,かのとのみ,とる,金,　,十し
《3780》,《暦日2》,廿七／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《3790》,《暦日0》,廿八／,みつのとのひつし,あやふ,,　,ふく日
《3800》,《暦日2》,廿九／,きのえさる,なる,水,十方くれニ入,大みやう
《3810》,《暦日0》,卅／,きのとのとり,おさん,,　,神よし 大くわ  ものたちよし
《3820》,《月序》,十二月,大,建,癸丑,觜宿　角　木よう
《3830》,《暦日2》,一／,ひのえいぬ,ひらく,土,　,五む日
《3840》,《暦日0》,二／,ひのとのい,とつ,,　,大みやう ちう日 ふく日
《3850》,《暦日2》,三／,つちのえね,たつ,火,　,くゑ日
《3860》,《暦日0》,四／,つちのとのうし,のそく,,　, つめとりよし
《3870》,《暦日2》,五／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3880》,《暦日0》,六／,かのとのう,たいら,,　,●
《3890》,《暦日2》,七／,みつのえたつ,さたん,水,　,大みやう 五む日  木こりよし
《3900》,《暦日0》,八／,みつのとのみ,とる,,天一天上,十し
《3910》,《暦日2》,九／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3920》,《暦日0》,十／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3930》,《節中》,小寒十二月せつ翌とらの四刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3940》,《暦日2》,十一／,ひのえさる,あやふ,火,　,神よし  木こりよし
《3950》,《暦日0》,十二／,ひのとのとり,なる,,　,●
《3960》,《暦日2》,十三／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《3970》,《暦日0》,十四／,つちのとのい,ひらく,,　,ちう日 ふく日
《3980》,《暦日2》,十五／,かのえね,とつ,土,　,神よし きこ ちいみ
《3990》,《暦日0》,十六／,かのとのうし,たつ,,　,十し
《4000》,《暦日2》,十七／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《4010》,《暦日0》,十八／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《4020》,《暦日2》,十九／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4030》,《暦日0》,廿／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《4040》,《暦日2》,廿一／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《4050》,《暦日0》,廿二／,ひのとのひつし,やふる,,　,くゑ日
《4060》,《暦日2》,廿三／,つちのえさる,あやふ,土,とようたつの四刻ニ入,神よし きしく ふく日  みそさけつくりよし
《4070》,《暦日0》,廿四／,つちのとのとり,なる,,　,●
《4080》,《暦日2》,廿五／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《4090》,《暦日0》,廿六／,かのとのい,ひらく,,　,さい下しき 大みやう ちう日  正月ことはしめよし
《4100》,《節中》,大寒十二月中みの初刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4110》,《暦日2》,廿七／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4120》,《暦日0》,廿八／,みつのとのうし,たつ,,ま日,十し
《4130》,《暦日2》,廿九／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4140》,《暦日0》,卅／,きのとのう,みつ,,　,神よし  ものたち 正月ことはしめよし
《4150》,《暦末》,寛保元年出,立表測景定節氣者
