《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/229 ～ 233
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1793g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1793h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,寛政五年みつのとのうし乃宝暦甲戌元暦,婁宿/値年,凡三百五十四日
《0120》,《大歳》,大さいうしの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《0140》,《大陰》,大おんいの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《0160》,《歳刑》,さいけういぬの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはひつしの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月大,五月小,六月大
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月小,八月大,九月大
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《0210》,《月序》,正月,小,建,甲寅,心宿値月張宿月曜値朔日
《2800》,《暦日0》,廿九／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《2810》,《暦日1》,卅／,かのえとら,とる,木,　,さい下しき 月とく きこ  つめとりよし
《2820》,《月序》,九月,大,建,壬戌,室宿　女　土よう
《2830》,《暦日1》,一／,かのとのう,やふる,木,　,ふく日  田かりよし
《2840》,《暦日1》,二／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《2850》,《節中》,寒露九月せつうの四刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《2860》,《暦日1》,三／,みつのとのみ,あやふ,水,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《2870》,《暦日2》,四／,きのえむま,なる,金,　,くゑ日
《2880》,《暦日0》,五／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《2890》,《暦日2》,六／,ひのえさる,ひらく,火,　,くゑ日
《2900》,《暦日0》,七／,ひのとのとり,とつ,,　,くゑ日
《2910》,《暦日2》,八／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《2920》,《暦日0》,九／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《2930》,《暦日2》,十／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《2940》,《暦日0》,十一／,かのとのうし,たいら,,　,十し
《2950》,《暦日2》,十二／,みつのえとら,さたん,金,　,●
《2960》,《暦日0》,十三／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《2970》,《暦日2》,十四／,きのえたつ,やふる,火,とようみの五刻ニ入,きしく 大みやう
《2980》,《暦日0》,十五／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《2990》,《暦日2》,十六／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《3000》,《暦日0》,十七／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《3010》,《節中》,霜降九月中むまの一刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3020》,《暦日2》,十八／,つちのえさる,ひらく,土,　,天しや よろつよし
《3030》,《暦日0》,十九／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《3040》,《暦日2》,廿／,かのえいぬ,たつ,金,　,大みやう くゑ日
《3050》,《暦日0》,廿一／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《3060》,《暦日2》,廿二／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《3070》,《暦日0》,廿三／,みつのとのうし,たいら,,ま日,十し
《3080》,《暦日2》,廿四／,きのえとら,さたん,水,　,●
《3090》,《暦日0》,廿五／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3100》,《暦日2》,廿六／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《3110》,《暦日0》,廿七／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《3120》,《暦日2》,廿八／,つちのえむま,なる,火,ま日,母倉 ふく日 わうまう
《3130》,《暦日0》,廿九／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《3140》,《暦日1》,卅／,かのえさる,ひらく,木,　,大みやう
《3150》,《月序》,十月,小,建,癸亥,壁宿　危　月よう
《3160》,《暦日1》,一／,かのとのとり,とつ,木,　,神よし 大みやう 月とく  いちたちよし
《3170》,《暦日1》,二／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3180》,《節中》,立冬十月せつさるの六刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3190》,《暦日1》,三／,みつのとのい,たつ,水,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3200》,《暦日2》,四／,きのえね,のそく,金,　,天しや よろつよし
《3210》,《暦日0》,五／,きのとのうし,みつ,,　,くゑ日 きこ
《3220》,《暦日2》,六／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《3230》,《暦日0》,七／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《3240》,《暦日2》,八／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《3250》,《暦日0》,九／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3260》,《暦日2》,十／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3270》,《暦日0》,十一／,かのとのひつし,なる,,　,大みやう わうまう  やたて ものたちよし
《3280》,《暦日2》,十二／,みつのえさる,おさん,金,　,●
《3290》,《暦日0》,十三／,みつのとのとり,ひらく,,　,十し
《3300》,《暦日2》,十四／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《3310》,《暦日0》,十五／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《3320》,《暦日2》,十六／,ひのえね,のそく,水,　,ふく日
《3330》,《暦日0》,十七／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《3340》,《節中》,小雪十月中いの三刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3350》,《暦日2》,十八／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3360》,《暦日0》,十九／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《3370》,《暦日2》,廿／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《3380》,《暦日0》,廿一／,かのとのみ,やふる,,　,天おん ちう日
《3390》,《暦日2》,廿二／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3400》,《暦日0》,廿三／,みつのとのひつし,なる,,　,天おん
《3410》,《暦日2》,廿四／,きのえさる,おさん,水,十方くれニ入,●
《3420》,《暦日0》,廿五／,きのとのとり,ひらく,,　,十し
《3430》,《暦日2》,廿六／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3440》,《暦日0》,廿七／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3450》,《暦日2》,廿八／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3460》,《暦日0》,廿九／,つちのとのうし,みつ,,　,くゑ日 きこ
《3470》,《月序》,十一月,大,建,甲子,奎宿　室　火よう
《3480》,《暦日2》,一／,かのえとら,たいら,木,　,さい下しき 大くわ 地火  かといて  つめとりよし
《3490》,《暦日0》,二／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3500》,《暦日2》,三／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3510》,《暦日0》,四／,みつのとのみ,とる,,天一天上,十し
《3520》,《節中》,大雪十一月せつ今暁とらの初刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3530》,《暦日2》,五／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3540》,《暦日0》,六／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3550》,《暦日2》,七／,ひのえさる,なる,火,　,母倉
《3560》,《暦日0》,八／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《3570》,《暦日2》,九／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3580》,《暦日0》,十／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3590》,《暦日2》,十一／,かのえね,たつ,土,　,きしく  井ほりよし
《3600》,《暦日0》,十二／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3610》,《暦日2》,十三／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《3620》,《暦日0》,十四／,みつのとのう,たいら,,　,●
《3630》,《暦日2》,十五／,きのえたつ,さたん,火,　,大みやう
《3640》,《暦日0》,十六／,きのとのみ,とる,,　,十し
《3650》,《暦日2》,十七／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3660》,《暦日0》,十八／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《3670》,《暦日1》,十九／,つちのえさる,なる,土,　,母倉  入学よし
《3680》,《節中》,冬至十一月中たつの五刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3690》,《暦日1》,廿／,つちのとのとり,おさん,土,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《3700》,《暦日2》,廿一／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《3710》,《暦日0》,廿二／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《3720》,《暦日2》,廿三／,みつのえね,たつ,木,八せんのはしめ,くゑ日 わうまう
《3730》,《暦日0》,廿四／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《3740》,《暦日2》,廿五／,きのえとら,みつ,水,　,きこ  つめとりよし
《3750》,《暦日0》,廿六／,きのとのう,たいら,,　,●
《3760》,《暦日2》,廿七／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3770》,《暦日0》,廿八／,ひのとのみ,とる,,　,十し
《3780》,《暦日2》,廿九／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3790》,《暦日0》,卅／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3800》,《月序》,十二月,小,建,乙丑,婁宿　奎　木よう
《3810》,《暦日2》,一／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3820》,《暦日0》,二／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3830》,《暦日2》,三／,みつのえいぬ,ひらく,水,ま日,月とく
《3840》,《暦日0》,四／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《3850》,《節中》,小寒十二月せつひつしの二刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3860》,《暦日2》,五／,きのえね,とつ,金,　,天しや よろつよし
《3870》,《暦日0》,六／,きのとのうし,たつ,,　,十し
《3880》,《暦日2》,七／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《3890》,《暦日0》,八／,ひのとのう,みつ,,　,神よし 天おん
《3900》,《暦日2》,九／,つちのえたつ,たいら,木,　,きしく 天おん 五む日 大くわ ふく日 地火
《3910》,《暦日0》,十／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《3920》,《暦日2》,十一／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《3930》,《暦日0》,十二／,かのとのひつし,やふる,,　,大みやう  かといてよし
《3940》,《暦日2》,十三／,みつのえさる,あやふ,金,　,神よし 大みやう
《3950》,《暦日0》,十四／,みつのとのとり,なる,,　,●
《3960》,《暦日2》,十五／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《3970》,《暦日0》,十六／,きのとのい,ひらく,,とようとりの三刻ニ入,月とく ちう日  いちたちよし
《3980》,《暦日2》,十七／,ひのえね,とつ,水,　,きこ ちいみ
《3990》,《暦日0》,十八／,ひのとのうし,たつ,,　,十し
《4000》,《暦日1》,十九／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《4010》,《節中》,大寒十二月中とりの七刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4020》,《暦日1》,廿／,つちのとのう,みつ,土,　,神よし 大みやう 天おん ふく日  正月ことはしめよし
《4030》,《暦日2》,廿一／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《4040》,《暦日0》,廿二／,かのとのみ,さたん,,　,天おん 母倉 ちう日  すゝはらひよし
《4050》,《暦日2》,廿三／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《4060》,《暦日0》,廿四／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《4070》,《暦日2》,廿五／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《4080》,《暦日0》,廿六／,きのとのとり,なる,,　,●
《4090》,《暦日2》,廿七／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4100》,《暦日0》,廿八／,ひのとのい,ひらく,,　,大みやう ちう日
《4110》,《暦日1》,廿九／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4120》,《暦末》,寛政四年出,立表測景定節氣者
