《1815-0000》,# カンマ区切りテキスト形式です。
《1815-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1815-0020》,# ・表の区画内での改行は“/”で表記します。
《1815-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1815-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1815-0050》,# 外部リンク
《1815-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/44 ～ 48
《1815-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1815g　(GitHub上データを表成型)
《1815-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1815h　(翻刻編集データを表成型 - 未実装)
《1815-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1815-0100》,《版元》,出版地○○,出版元□□□,　
《1815-0110》,《暦首》,文化十二年きのとのい乃寛政暦,女宿/値年,凡三百五十四日
《1815-0120》,《大歳》,大さいいの方,此方ニむかひて万よし/但木をきらす
《1815-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1815-0140》,《大陰》,大おんとりの方,此方ニむかひて/さんをせす
《1815-0150》,《歳徳》,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《1815-0160》,《歳刑》,さいけういの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1815-0170》,《歳破》,さいはみの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月小
《1815-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大,五月小,六月小
《1815-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1815-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1815-0210》,《月序》,正月,大,建,戊寅,胃宿値月井宿木曜値朔日
《1815-2650》,《暦日0》,十五／,ひのとのう,やふる,,　,天おん  田かりよし
《1815-2660》,《暦日2》,十六／,つちのえたつ,あやふ,木,社日,天おん 母倉 五む日  みそすつくりよし
《1815-2670》,《暦日0》,十七／,つちのとのみ,なる,,　,十し
《1815-2680》,《暦日2》,十八／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《1815-2690》,《暦日0》,十九／,かのとのひつし,ひらく,,ひかんニなる,●
《1815-2700》,《暦日1》,廿／,みつのえさる,とつ,金,　,神よし きしく 大みやう
《1815-2710》,《節中》,秋分八月中みの三刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《1815-2720》,《暦日1》,廿一／,みつのとのとり,たつ,金,　,大みやう 天火 らうしやく 下しきむまの時
《1815-2730》,《暦日2》,廿二／,きのえいぬ,のそく,火,　,母倉 ちいみ わうまう  竹木こりよし
《1815-2740》,《暦日0》,廿三／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《1815-2750》,《暦日2》,廿四／,ひのえね,たいら,水,　,大くわ 地火
《1815-2760》,《暦日0》,廿五／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《1815-2770》,《暦日2》,廿六／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1815-2780》,《暦日0》,廿七／,つちのとのう,やふる,,　,大みやう 天おん
《1815-2790》,《暦日2》,廿八／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《1815-2800》,《暦日0》,廿九／,かのとのみ,なる,,　,十し
《1815-2810》,《暦日1》,卅／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《1815-2820》,《月序》,九月,小,建,丙戌,星宿　尾　火よう
《1815-2830》,《暦日1》,一／,みつのとのひつし,ひらく,木,　,●
《1815-2840》,《暦日2》,二／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1815-2850》,《暦日0》,三／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《1815-2860》,《暦日2》,四／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《1815-2870》,《暦日0》,五／,ひのとのい,のそく,,　,大みやう ちう日
《1815-2880》,《節中》,寒露九月せつひつしの八刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《1815-2890》,《暦日2》,六／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《1815-2900》,《暦日0》,七／,つちのとのうし,たいら,,　,十し
《1815-2910》,《暦日2》,八／,かのえとら,さたん,木,　,●
《1815-2920》,《暦日0》,九／,かのとのう,とる,,　,くゑ日
《1815-2930》,《暦日2》,十／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《1815-2940》,《暦日0》,十一／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1815-2950》,《暦日2》,十二／,きのえむま,なる,金,　,くゑ日
《1815-2960》,《暦日0》,十三／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《1815-2970》,《暦日2》,十四／,ひのえさる,ひらく,火,　,くゑ日
《1815-2980》,《暦日0》,十五／,ひのとのとり,とつ,,　,くゑ日
《1815-2990》,《暦日2》,十六／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1815-3000》,《暦日0》,十七／,つちのとのい,のそく,,とよういぬの初刻ニ入,神よし ちう日 ふく日  むきまきよし
《1815-3010》,《暦日2》,十八／,かのえね,みつ,土,　,さい下しき 神よし きしく きこ 天火 らうしやく
《1815-3020》,《暦日0》,十九／,かのとのうし,たいら,,　,十し
《1815-3030》,《暦日1》,廿／,みつのえとら,さたん,金,　,●
《1815-3040》,《節中》,霜降九月中いぬの五刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《1815-3050》,《暦日1》,廿一／,みつのとのう,とる,金,　,神よし  けんふく かといてよし
《1815-3060》,《暦日2》,廿二／,きのえたつ,やふる,火,　,大みやう
《1815-3070》,《暦日0》,廿三／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《1815-3080》,《暦日2》,廿四／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《1815-3090》,《暦日0》,廿五／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1815-3100》,《暦日2》,廿六／,つちのえさる,ひらく,土,　,天しや よろつよし
《1815-3110》,《暦日0》,廿七／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《1815-3120》,《暦日2》,廿八／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1815-3130》,《暦日0》,廿九／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《1815-3140》,《月序》,十月,大,建,丁亥,張宿　箕　水よう
《1815-3150》,《暦日2》,一／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《1815-3160》,《暦日0》,二／,みつのとのうし,たいら,,ま日,十し
《1815-3170》,《暦日2》,三／,きのえとら,さたん,水,　,●
《1815-3180》,《暦日0》,四／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《1815-3190》,《暦日2》,五／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《1815-3200》,《暦日0》,六／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《1815-3210》,《暦日1》,七／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《1815-3220》,《節中》,立冬十月せつ今暁うしの一刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1815-3230》,《暦日1》,八／,つちのとのひつし,なる,火,　,大みやう 月とく  かまぬり いちたちよし
《1815-3240》,《暦日2》,九／,かのえさる,おさん,木,　,●
《1815-3250》,《暦日0》,十／,かのとのとり,ひらく,,　,十し
《1815-3260》,《暦日2》,十一／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《1815-3270》,《暦日0》,十二／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1815-3280》,《暦日2》,十三／,きのえね,のそく,金,　,天しや よろつよし
《1815-3290》,《暦日0》,十四／,きのとのうし,みつ,,　,くゑ日 きこ
《1815-3300》,《暦日2》,十五／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《1815-3310》,《暦日0》,十六／,ひのとのう,さたん,,　,天おん 天火 らうしやく わうまう
《1815-3320》,《暦日2》,十七／,つちのえたつ,とる,木,　,きしく 天おん 五む日  ふねのりよし
《1815-3330》,《暦日0》,十八／,つちのとのみ,やふる,,　,くゑ日 ちう日
《1815-3340》,《暦日2》,十九／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1815-3350》,《暦日0》,廿／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1815-3360》,《暦日2》,廿一／,みつのえさる,おさん,金,　,●
《1815-3370》,《暦日0》,廿二／,みつのとのとり,ひらく,,　,十し
《1815-3380》,《節中》,小雪十月中うの七刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《1815-3390》,《暦日2》,廿三／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《1815-3400》,《暦日0》,廿四／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1815-3410》,《暦日2》,廿五／,ひのえね,のそく,水,　,ふく日
《1815-3420》,《暦日0》,廿六／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1815-3430》,《暦日2》,廿七／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1815-3440》,《暦日0》,廿八／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1815-3450》,《暦日2》,廿九／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《1815-3460》,《暦日0》,卅／,かのとのみ,やふる,,　,天おん ちう日
《1815-3470》,《月序》,十一月,小,建,戊子,翼宿　牛　金よう
《1815-3480》,《暦日2》,一／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《1815-3490》,《暦日0》,二／,みつのとのひつし,なる,,　,天おん
《1815-3500》,《暦日2》,三／,きのえさる,おさん,水,十方くれニ入,●
《1815-3510》,《暦日0》,四／,きのとのとり,ひらく,,　,十し
《1815-3520》,《暦日2》,五／,ひのえいぬ,とつ,土,　,五む日 ふく日
《1815-3530》,《暦日0》,六／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1815-3540》,《暦日1》,七／,つちのえね,たつ,火,　,くゑ日
《1815-3550》,《節中》,大雪十一月せつむまの三刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1815-3560》,《暦日1》,八／,つちのとのうし,のそく,火,　, つめとりよし
《1815-3570》,《暦日2》,九／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《1815-3580》,《暦日0》,十／,かのとのう,たいら,,　,●
《1815-3590》,《暦日2》,十一／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《1815-3600》,《暦日0》,十二／,みつのとのみ,とる,,天一天上,十し
《1815-3610》,《暦日2》,十三／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《1815-3620》,《暦日0》,十四／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《1815-3630》,《暦日2》,十五／,ひのえさる,なる,火,　,きしく 母倉
《1815-3640》,《暦日0》,十六／,ひのとのとり,おさん,,　,母倉 月とく 大くわ ふく日
《1815-3650》,《食記》,月蝕皆既
《1815-3660》,《暦日2》,十七／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1815-3670》,《暦日0》,十八／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1815-3680》,《暦日2》,十九／,かのえね,たつ,土,　,さい下しき  井ほりよし
《1815-3690》,《暦日0》,廿／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1815-3700》,《暦日2》,廿一／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《1815-3710》,《暦日0》,廿二／,みつのとのう,たいら,,　,●
《1815-3720》,《節中》,冬至十一月中とりの初刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《1815-3730》,《暦日2》,廿三／,きのえたつ,さたん,火,　,大みやう
《1815-3740》,《暦日0》,廿四／,きのとのみ,とる,,　,十し
《1815-3750》,《暦日2》,廿五／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1815-3760》,《暦日0》,廿六／,ひのとのひつし,あやふ,,　,月とく ふく日 わうまう  いちたちよし
《1815-3770》,《暦日2》,廿七／,つちのえさる,なる,土,　,母倉  入学よし
《1815-3780》,《暦日0》,廿八／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《1815-3790》,《暦日1》,廿九／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《1815-3800》,《月序》,十二月,大,建,己丑,軫宿　女　土よう
《1815-3810》,《暦日1》,一／,かのとのい,とつ,金,　,神よし 大みやう 天おん ちう日
《1815-3820》,《暦日2》,二／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1815-3830》,《暦日0》,三／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《1815-3840》,《暦日2》,四／,きのえとら,みつ,水,　,きこ  つめとりよし
《1815-3850》,《暦日0》,五／,きのとのう,たいら,,　,●
《1815-3860》,《暦日2》,六／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《1815-3870》,《暦日0》,七／,ひのとのみ,とる,,　,十し
《1815-3880》,《暦日1》,八／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《1815-3890》,《節中》,小寒十二月せついの六刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1815-3900》,《暦日1》,九／,つちのとのひつし,やふる,火,　,神よし 大みやう ふく日  かといてよし
《1815-3910》,《暦日2》,十／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《1815-3920》,《暦日0》,十一／,かのとのとり,なる,,　,●
《1815-3930》,《暦日2》,十二／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《1815-3940》,《暦日0》,十三／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《1815-3950》,《暦日2》,十四／,きのえね,とつ,金,　,天しや よろつよし
《1815-3960》,《暦日0》,十五／,きのとのうし,たつ,,　,十し
《1815-3970》,《暦日2》,十六／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《1815-3980》,《暦日0》,十七／,ひのとのう,みつ,,　,神よし 天おん
《1815-3990》,《暦日2》,十八／,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
《1815-4000》,《暦日0》,十九／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《1815-4010》,《暦日2》,廿／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《1815-4020》,《暦日0》,廿一／,かのとのひつし,やふる,,とよう今暁うしの六刻ニ入,大みやう  かといてよし
《1815-4030》,《暦日2》,廿二／,みつのえさる,あやふ,金,　,神よし 大みやう
《1815-4040》,《暦日0》,廿三／,みつのとのとり,なる,,　,●
《1815-4050》,《暦日1》,廿四／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1815-4060》,《節中》,大寒十二月中今暁とらの二刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《1815-4070》,《暦日1》,廿五／,きのとのい,ひらく,火,　,月とく ちう日  いちたちよし
《1815-4080》,《暦日2》,廿六／,ひのえね,とつ,水,　,きこ ちいみ
《1815-4090》,《暦日0》,廿七／,ひのとのうし,たつ,,　,十し
《1815-4100》,《暦日2》,廿八／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《1815-4110》,《暦日0》,廿九／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日  正月ことはしめよし
《1815-4120》,《暦日1》,卅／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《1815-4130》,《暦末》,文化十一年出,立表測景定節氣者
